variable_original,puntuacion_media,puntuacion_max,targets_2_metodos,targets_3_metodos,targets_puntuacion_090,targets_puntuacion_095
DRVINALDRG,0.6591840918409184,0.8159081590815909,0,0,0,0
RXBZOTANY,0.6501640016400164,0.8159081590815909,0,0,0,0
RSKMRJWK,0.7013120131201313,0.8126281262812629,0,0,0,0
MRJMON,0.7932554325543255,0.8105781057810578,0,0,0,0
MJONLYMON2,0.7033620336203361,0.8093480934809348,0,0,0,0
RSKMRJMON,0.611111111111111,0.8081180811808117,0,0,0,0
UD5CNSANY,0.6779417794177942,0.8077080770807709,0,0,0,0
FLVVAPEVR,0.7862853628536285,0.8068880688806889,0,0,0,0
FUALC18,0.6797867978679787,0.8060680606806069,0,0,0,0
TOBCIGONL,0.6964944649446494,0.8019680196801967,0,0,0,0
INHALFLAG2,0.7157646576465765,0.7978679786797868,0,0,0,0
GRSKMRJMON,0.5391553915539156,0.7966379663796638,0,0,0,0
RSKCOCMON,0.6369413694136942,0.7949979499794998,0,0,0,0
EDUSCHLGO,0.7170971709717097,0.7939729397293972,0,0,0,0
CIGMDAYS,0.6888068880688807,0.7937679376793768,0,0,0,0
FUINHAL212,0.7334973349733498,0.7933579335793358,0,0,0,0
PSYCHYR,0.7050020500205003,0.7925379253792538,0,0,0,0
TOBCIGVAP2,0.726219762197622,0.7913079130791308,0,0,0,0
APPDRGMON2,0.6788642886428864,0.7908979089790898,0,0,0,0
MOVSINPYR2,0.7140221402214022,0.7896678966789669,0,0,0,0
IRSEX,0.4268142681426814,0.7888478884788848,0,0,0,0
WRKDPSTYR,0.5861521115211152,0.7882328823288233,0,0,0,0
WRKRSNJOB,0.7525625256252563,0.7874128741287413,0,0,0,0
PNRNMFLAG,0.7392373923739237,0.7872078720787208,0,0,0,0
MJVAPMON,0.7084870848708487,0.7867978679786797,0,0,0,0
PNRANYFLAG2,0.4725297252972529,0.7859778597785977,0,0,0,0
SEXRACE,0.550430504305043,0.7814678146781467,0,0,0,0
GRSKCOCMON,0.6337638376383764,0.7785977859778598,0,0,0,0
DRVINMARJ2,0.6303813038130381,0.7753177531775317,0,0,0,0
HPUSEDRG,0.5271627716277162,0.7740877408774086,0,0,0,0
PMNICDEP,0.6850143501435014,0.7699876998769989,0,0,0,0
FUINHAL182,0.7137146371463715,0.7658876588765887,0,0,0,0
HPALCNOT2,0.4887761377613776,0.7646576465764658,0,0,0,0
WRKSTATWK2,0.7020295202952029,0.7609676096760967,0,0,0,0
RXAMPHANY,0.6665641656416564,0.7580975809758098,0,0,0,0
LSDMLU,0.7247334973349733,0.7576875768757687,0,0,0,0
TOBYR,0.714739647396474,0.7568675686756867,0,0,0,0
CIGMON,0.6601066010660106,0.7556375563755636,0,0,0,0
FUHALLUC21,0.7366748667486674,0.7552275522755227,0,0,0,0
LVLDIFWALK2,0.5726732267322674,0.7544075440754408,0,0,0,0
OPIANYYR2,0.6933169331693317,0.7539975399753999,0,0,0,0
CIGRNOUT,0.6489339893398934,0.7533825338253383,0,0,0,0
DIFGETLSD,0.5818983189831899,0.7503075030750308,0,0,0,0
LVLDIFHEAR2,0.6191061910619107,0.7449774497744978,0,0,0,0
IRFSTAMP,0.6670766707667076,0.7441574415744157,0,0,0,0
CBDHMPMON,0.6843993439934399,0.7425174251742517,0,0,0,0
SNRLGIMP,0.6254612546125462,0.7421074210742108,0,0,0,0
