target,modelo,fold,fit_time_s,roc_auc,average_precision,recall,precision,f1,balanced_accuracy,specificity,accuracy,roc_auc_train,average_precision_train,recall_train,precision_train,f1_train,balanced_accuracy_train,specificity_train,accuracy_train
IRSUICTHNK,Árbol de Decisión,5,0.8322997093200684,0.6904282303033131,0.18817439481993967,0.6039076376554174,0.17338092809790923,0.2694136291600634,0.6862342300213125,0.7685608223872074,0.756310294700674,0.884903804444989,0.45631545649349026,0.8328159645232815,0.24532984977139125,0.3790110998990918,0.8133098632624617,0.7938037620016418,0.7967098308668076
IRSUICTHNK,Random Forest,1,1.1647627353668213,0.8016339953663763,0.2603365101288373,0.5939716312056738,0.22650439486139284,0.32794909446891823,0.7153181970991247,0.8366647629925756,0.81857822410148,0.884621594462913,0.5457312808602683,0.7626441881100267,0.2897842211732974,0.41998534082580014,0.8061356001406041,0.8496270121711818,0.8431502097717287
IRSUICTHNK,Random Forest,2,1.1423578262329102,0.7937732390002066,0.2854862318699832,0.5921985815602837,0.22845417236662108,0.3297137216189536,0.7155738767310271,0.8389491719017704,0.8205602536997886,0.8842212797724947,0.5464955985324308,0.7653061224489796,0.29207585506264816,0.4227941176470588,0.8080376491532473,0.8507691758575151,0.8444055366522414
IRSUICTHNK,Random Forest,3,1.1559727191925049,0.7983323106148057,0.25779239502696016,0.5709219858156028,0.23249097472924188,0.3304258594150847,0.7095757844554884,0.8482295830953741,0.8275634249471459,0.8848517041513553,0.5392181264441939,0.7599822537710736,0.2983800731579864,0.42851782363977486,0.8081061998769349,0.8562301459827961,0.8490634600773017
IRSUICTHNK,Random Forest,4,1.1267011165618896,0.806668923364813,0.26644981312358956,0.5879218472468917,0.22410291130670276,0.32450980392156864,0.7121622084200196,0.8364025695931477,0.8179175475687104,0.8823654696524381,0.5593935567564036,0.7592017738359201,0.29486737857388906,0.4247611958814043,0.8065354957129344,0.8538692175899486,0.8468170856595422
IRSUICTHNK,Random Forest,5,1.1130590438842773,0.8052374030368843,0.24989539776031247,0.6039076376554174,0.2247191011235955,0.32755298651252407,0.7182159547500389,0.8325242718446602,0.815514735033699,0.8827077668317785,0.5435098047921195,0.7605321507760532,0.29266211604095566,0.4226740603820086,0.8062931303903467,0.85205411000464,0.8452365221987315
IRSUICTHNK,XGBoost,1,0.9345071315765381,0.8135619564909211,0.29438365750758544,0.700354609929078,0.21525885558583105,0.32930387661525634,0.7473789040507754,0.7944031981724728,0.7873942917547568,0.8790699201229675,0.49681364790728866,0.7968056787932565,0.24562363238512036,0.37549655028224965,0.7999626066807771,0.8031195345682978,0.80264940041624
IRSUICTHNK,XGBoost,2,0.6472792625427246,0.8072236331012471,0.32374180967092614,0.6861702127659575,0.20907617504051865,0.3204968944099379,0.7385733987873191,0.7909765848086807,0.7831659619450317,0.8813430599035148,0.49157846343126865,0.7994676131322094,0.2430536822228217,0.37277616880430287,0.7995803283207537,0.7996930435092979,0.7996762578044994
IRSUICTHNK,XGBoost,3,0.6343967914581299,0.8104116543332888,0.3059500860395197,0.6666666666666666,0.21088053841839596,0.3204090328078398,0.7328907291071769,0.799114791547687,0.7892441860465116,0.878444008785514,0.48955589415679845,0.7883762200532387,0.2450696455661288,0.3739084692267228,0.7964974222299245,0.8046186244066102,0.8034092035281293
IRSUICTHNK,XGBoost,4,1.851409673690796,0.8145816931068013,0.273695403533154,0.6838365896980462,0.20844612885760694,0.31950207468879666,0.7375642620153329,0.7912919343326196,0.7832980972515856,0.8779484260498596,0.5003474249626528,0.7880266075388027,0.24503585217870932,0.37382980961396867,0.7963012820675167,0.8045759565962307,0.8033431336923128
