variable,rol_base,etiqueta_codebook,modulo,tipo_version,n_unicos,pct_nan
SEVYROPPRANY,Predictor principal,"RC-RX OPIOID USE DISORDER SEVERITY, PY USERS",RECODED SUBSTANCE USE DISORDER,Recodificada,4,0.0
SEVYRTRQANY,Predictor principal,"RC-TRANQUILIZER USE DISORDER SEVERITY, PY USERS",RECODED SUBSTANCE USE DISORDER,Recodificada,4,0.0
SEVYRSTMANY,Predictor principal,"RC-STIMULANT USE DISORDER SEVERITY, PY USERS",RECODED SUBSTANCE USE DISORDER,Recodificada,4,0.0
SEVYRSEDANY,Predictor principal,"RC-SEDATIVE USE DISORDER SEVERITY, PY USERS",RECODED SUBSTANCE USE DISORDER,Recodificada,4,0.0
SVYRTQSDANY,Predictor principal,"RC-TRANQUILIZER OR SEDATIVE USE DISORDER SEVERITY, PY USERS",RECODED SUBSTANCE USE DISORDER,Recodificada,4,0.0
SVYRPSYANY,Predictor principal,"RC-PSYCHOTHERAPUETIC USE DISORDER SEVERITY, PY USERS",RECODED SUBSTANCE USE DISORDER,Recodificada,4,0.0
SVYROPIANY2,Predictor principal,"RC-OPIOID (RX OPIOIDS OR HEROIN) USE DISORDER SEV, PY USERS",RECODED SUBSTANCE USE DISORDER,Recodificada,4,0.0
SVYRCNSANY,Predictor principal,"RC-CNS STIMULANT USE DISORDER SEVERITY, PY USERS",RECODED SUBSTANCE USE DISORDER,Recodificada,4,0.0
SVYRDUDANY,Predictor principal,"RC-DRUG USE DISORDER SEVERITY, PY USERS",RECODED SUBSTANCE USE DISORDER,Recodificada,4,0.0
SVYRSUDANY,Predictor principal,"RC-SUBSTANCE USE DISORDER SEVERITY, PY USERS",RECODED SUBSTANCE USE DISORDER,Recodificada,4,0.0
SVYRTQSDMIS,Predictor principal,"RC-TRANQUILIZER/SEDATIVE USE DISORDER SEVERITY, PY MISUSERS",RECODED SUBSTANCE USE DISORDER,Recodificada,4,0.0
SVYROPIMIS,Predictor principal,"RC-OPIOID USE DISORDER SEVERITY, PY MISUSERS",RECODED SUBSTANCE USE DISORDER,Recodificada,4,0.0
SVYRCNSMIS,Predictor principal,"RC-CNS STIMULANT USE DISORDER SEVERITY, PY MISUSERS",RECODED SUBSTANCE USE DISORDER,Recodificada,4,0.0
SVYRTQSDUNM,Predictor principal,"RC-TRANQ/SED USE DIS SEV, PY USERS/NOT MISUSERS ONLY",RECODED SUBSTANCE USE DISORDER,Recodificada,4,0.0
SVYROPIUNM,Predictor principal,"RC-OPIOID USE DIS SEV, PY RX OPIOID USERS/NOT MISUSERS ONLY",RECODED SUBSTANCE USE DISORDER,Recodificada,4,0.0
SVYRCNSUNM,Predictor principal,"RC-CNS STIM USE DIS SEV, PY STM USERS/ NOT MISUSERS ONLY",RECODED SUBSTANCE USE DISORDER,Recodificada,4,0.0
MRJYRBFR,Predictor principal,USE MJ/CANNABIS EVEN ONCE YR BEFORE LAST,PRIOR SUBSTANCE USE,Original u otra,7,0.0
MRJAGLST,Predictor principal,HOW OLD WERE YOU THE LAST TIME USED MARIJUANA/CANNABIS,PRIOR SUBSTANCE USE,Original u otra,91,0.0
MRJYLU,Predictor principal,YEAR OF LAST MARIJUANA/CANNABIS USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,10,0.0
MRJMLU,Predictor principal,MONTH OF LAST MARIJUANA/CANNABIS USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,19,0.0
CIGAGLST,Predictor principal,HOW OLD WERE YOU THE LAST TIME SMOKED CIGARETTE,PRIOR SUBSTANCE USE,Original u otra,91,0.0
CIGYLU,Predictor principal,YEAR OF LAST CIGARETTE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,10,0.0
CIGMLU,Predictor principal,MONTH OF LAST CIGARETTE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,19,0.0
CIGDLLST,Predictor principal,HOW OLD WERE YOU THE LAST TIME SMOKED CIGS DAILY,PRIOR SUBSTANCE USE,Original u otra,84,0.0
CIGDLYLU,Predictor principal,YEAR OF LAST CIGARETTE USE EVERY DAY - RECODE,PRIOR SUBSTANCE USE,Original u otra,10,0.0
CIGDLMLU,Predictor principal,MONTH OF LAST CIGARETTE USE EVERY DAY - RECODE,PRIOR SUBSTANCE USE,Original u otra,19,0.0
SMKAGLAST,Predictor principal,HOW OLD WERE YOU LAST THE TIME USED SMOKELESS TOB,PRIOR SUBSTANCE USE,Original u otra,79,0.0
SMKYRLAST,Predictor principal,YEAR OF LAST SMOKELESS TOBACCO USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,10,0.0
SMKMOLAST,Predictor principal,MONTH OF LAST SMOKELESS TOBACCO USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,19,0.0
CGRAGLST,Predictor principal,HOW OLD WERE YOU THE LAST TIME SMOKED CIGAR/CIGARILLO,PRIOR SUBSTANCE USE,Original u otra,85,0.0
CIGARYLU,Predictor principal,YEAR OF LAST CIGAR/CIGARILLO USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,10,0.0
CIGARMLU,Predictor principal,MONTH OF LAST CIGAR/CIGARILLO USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,19,0.0
ALCAGLST,Predictor principal,HOW OLD WERE YOU LAST TIME DRANK ALCOHOL BEVERAGE,PRIOR SUBSTANCE USE,Original u otra,101,0.0
ALCYLU,Predictor principal,YEAR OF LAST ALCOHOL USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,10,0.0
ALCMLU,Predictor principal,MONTH OF LAST ALCOHOL USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,19,0.0
COCAGLST,Predictor principal,HOW OLD WERE YOU THE LAST TIME USED COCAINE,PRIOR SUBSTANCE USE,Original u otra,71,0.0
COCYLU,Predictor principal,YEAR OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,10,0.0
COCMLU,Predictor principal,MONTH OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,19,0.0
CRKAGLST,Predictor principal,HOW OLD WERE YOU THE LAST TIME USED CRACK,PRIOR SUBSTANCE USE,Original u otra,64,0.0
CRKYLU,Predictor principal,YEAR OF LAST CRACK USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,10,0.0
CRKMLU,Predictor principal,MONTH OF LAST CRACK USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,19,0.0
HERAGLST,Predictor principal,HOW OLD WERE YOU THE LAST TIME USED HEROIN,PRIOR SUBSTANCE USE,Original u otra,56,0.0
HERYLU,Predictor principal,YEAR OF LAST HEROIN USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,10,0.0
HERMLU,Predictor principal,MONTH OF LAST HEROIN USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,19,0.0
HALLAGLST,Predictor principal,HOW OLD WERE YOU THE LAST TIME USED HALLUCINOGEN,PRIOR SUBSTANCE USE,Original u otra,73,0.0
HALLYRLST,Predictor principal,YEAR OF LAST HALLUCINOGEN USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,10,0.0
HALLMOLST,Predictor principal,MONTH OF LAST HALLUCINOGEN USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,19,0.0
LSDAGLST,Predictor principal,HOW OLD WERE YOU THE LAST TIME USED LSD,PRIOR SUBSTANCE USE,Original u otra,63,0.0
LSDYLU,Predictor principal,YEAR OF LAST LSD USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,10,0.0
LSDMLU,Predictor principal,MONTH OF LAST LSD USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,19,0.0
PCPAGLST,Predictor principal,HOW OLD WERE YOU THE LAST TIME USED PCP,PRIOR SUBSTANCE USE,Original u otra,51,0.0
PCPYLU,Predictor principal,YEAR OF LAST PCP USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,10,0.0
PCPMLU,Predictor principal,MONTH OF LAST PCP USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,18,0.0
ECSTMOAGL,Predictor principal,HOW OLD WERE YOU THE LAST TIME USED ECSTASY/MOLLY,PRIOR SUBSTANCE USE,Original u otra,58,0.0
ECSTMOYLU,Predictor principal,YEAR OF LAST ECSTASY OR MOLLY USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,10,0.0
ECSTMOMLU,Predictor principal,MONTH OF LAST ECSTASY OR MOLLY USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,19,0.0
INHLAGLST,Predictor principal,HOW OLD WERE YOU THE LAST TIME USED INHALANTS,PRIOR SUBSTANCE USE,Original u otra,74,0.0
INHLYRLST,Predictor principal,YEAR OF LAST INHALANT USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,10,0.0
INHLMOLST,Predictor principal,MONTH OF LAST INHALANT USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,19,0.0
METHAGLST,Predictor principal,HOW OLD WERE YOU THE LAST TIME USED METH,PRIOR SUBSTANCE USE,Original u otra,67,0.0
METHYRLST,Predictor principal,YEAR OF LAST METHAMPHETAMINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,10,0.0
METHMOLST,Predictor principal,MONTH OF LAST METH USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,19,0.0
CIGYRBFR,Predictor principal,SMOKE ALL OR PART OF CIGARETTE IN YR BEFORE LAST,PRIOR SUBSTANCE USE,Original u otra,8,0.0
ALCYRBFR,Predictor principal,HAVE ALCOHOLIC BEVERAGE IN YEAR BEFORE LAST,PRIOR SUBSTANCE USE,Original u otra,7,0.0
COCYRBFR,Predictor principal,HAVE ANY FORM OF COCAINE IN YEAR BEFORE LAST,PRIOR SUBSTANCE USE,Original u otra,7,0.0
RSKCIGPKD,Predictor principal,RISK SMOKING 1 OR MORE PACKS CIGARETTES PER DAY,RISK/AVAILABILITY,Original u otra,8,0.0
RSKMRJMON,Predictor principal,RISK SMOKING MARIJUANA ONCE A MONTH,RISK/AVAILABILITY,Original u otra,8,0.0
RSKMRJWK,Predictor principal,RISK SMOKING MARIJUANA ONCE OR TWICE A WEEK,RISK/AVAILABILITY,Original u otra,8,0.0
RSKLSDTRY,Predictor principal,RISK TRYING LSD ONCE OR TWICE,RISK/AVAILABILITY,Original u otra,8,0.0
RSKLSDWK,Predictor principal,RISK USING LSD ONCE OR TWICE A WEEK,RISK/AVAILABILITY,Original u otra,8,0.0
RSKHERTRY,Predictor principal,RISK TRYING HEROIN ONCE OR TWICE,RISK/AVAILABILITY,Original u otra,8,0.0
RSKHERWK,Predictor principal,RISK USING HEROIN ONCE OR TWICE A WEEK,RISK/AVAILABILITY,Original u otra,8,0.0
RSKCOCMON,Predictor principal,RISK USING COCAINE ONCE A MONTH,RISK/AVAILABILITY,Original u otra,8,0.0
RSKCOCWK,Predictor principal,RISK USING COCAINE ONCE OR TWICE A WEEK,RISK/AVAILABILITY,Original u otra,8,0.0
RSKBNGDLY,Predictor principal,RISK HAVING 4 OR 5 DRINKS NEARLY EVERY DAY,RISK/AVAILABILITY,Original u otra,8,0.0
RSKBNGWK,Predictor principal,RISK HAVING 5 OR MORE DRINKS ONCE OR TWICE A WEEK,RISK/AVAILABILITY,Original u otra,8,0.0
DIFGETMRJ,Predictor principal,HOW DIFFICULT TO GET MARIJUANA,RISK/AVAILABILITY,Original u otra,9,0.0
DIFGETLSD,Predictor principal,HOW DIFFICULT TO GET LSD,RISK/AVAILABILITY,Original u otra,9,0.0
DIFGETCOC,Predictor principal,HOW DIFFICULT TO GET COCAINE,RISK/AVAILABILITY,Original u otra,9,0.0
DIFGETCRK,Predictor principal,"HOW DIFFICULT TO GET ""CRACK""",RISK/AVAILABILITY,Original u otra,9,0.0
DIFGETHER,Predictor principal,HOW DIFFICULT TO GET HEROIN,RISK/AVAILABILITY,Original u otra,9,0.0
APPDRGMON,Predictor principal,APPROACHED BY SOMEONE SELLING ILL DRUG PST 30 DYS,RISK/AVAILABILITY,Original u otra,6,0.0
RSKYFQDGR,Predictor principal,GET A REAL KICK OUT OF DOING DANGEROUS THINGS,RISK/AVAILABILITY,Original u otra,8,0.0
RSKYFQTES,Predictor principal,LIKE TO TEST YOURSELF BY DOING RISKY THINGS,RISK/AVAILABILITY,Original u otra,8,0.0
RKFQPBLT,Predictor principal,WEAR A SEATBELT WHEN RIDE FRONT PASS SEAT OF CAR,RISK/AVAILABILITY,Original u otra,8,0.0
RKFQDBLT,Predictor principal,WEAR A SEATBELT WHEN YOU DRIVE A CAR,RISK/AVAILABILITY,Original u otra,9,0.0
GRSKCIGPKD,Predictor principal,RC-GREAT RISK:  SMOKE 1+ PACKS CIGARETTES PER DAY,RECODED RISK/AVAILABILITY,Recodificada,2,1.173
GRSKMRJMON,Predictor principal,RC-GREAT RISK:  USE MARIJUANA ONCE A MONTH,RECODED RISK/AVAILABILITY,Recodificada,2,1.419
GRSKMRJWK,Predictor principal,RC-GREAT RISK:  USE MARIJUANA 1-2 TIMES PER WEEK,RECODED RISK/AVAILABILITY,Recodificada,2,1.467
GRSKCOCMON,Predictor principal,RC-GREAT RISK:  USE COCAINE ONCE A MONTH,RECODED RISK/AVAILABILITY,Recodificada,2,1.725
GRSKCOCWK,Predictor principal,RC-GREAT RISK:  USE COCAINE 1-2 TIMES PER WEEK,RECODED RISK/AVAILABILITY,Recodificada,2,1.683
GRSKHERTRY,Predictor principal,RC-GREAT RISK:  TRYING HEROIN ONCE OR TWICE,RECODED RISK/AVAILABILITY,Recodificada,2,1.727
GRSKHERWK,Predictor principal,RC-GREAT RISK:  USE HEROIN 1-2 TIMES PER WEEK,RECODED RISK/AVAILABILITY,Recodificada,2,1.645
GRSKLSDTRY,Predictor principal,RC-GREAT RISK:  TRYING LSD ONCE OR TWICE,RECODED RISK/AVAILABILITY,Recodificada,2,2.169
GRSKLSDWK,Predictor principal,RC-GREAT RISK:  USE LSD 1-2 TIMES PER WEEK,RECODED RISK/AVAILABILITY,Recodificada,2,2.23
GRSKBNGDLY,Predictor principal,RC-GREAT RISK:  HAVE 4-5 ALC DRINKS PER DAY,RECODED RISK/AVAILABILITY,Recodificada,2,1.264
GRSKBNGWK,Predictor principal,RC-GREAT RISK:  HAVE 5+ ALC DRINKS 1-2 TIMES PER WEEK,RECODED RISK/AVAILABILITY,Recodificada,2,1.298
DIFOBTMRJ,Predictor principal,RC-MARIJUANA FAIRLY OR VERY EASY TO OBTAIN,RECODED RISK/AVAILABILITY,Recodificada,2,2.161
DIFOBTCOC,Predictor principal,RC-COCAINE FAIRLY OR VERY EASY TO OBTAIN,RECODED RISK/AVAILABILITY,Recodificada,2,3.241
DIFOBTCRK,Predictor principal,RC-CRACK FAIRLY OR VERY EASY TO OBTAIN,RECODED RISK/AVAILABILITY,Recodificada,2,3.34
DIFOBTHER,Predictor principal,RC-HEROIN FAIRLY OR VERY EASY TO OBTAIN,RECODED RISK/AVAILABILITY,Recodificada,2,3.374
DIFOBTLSD,Predictor principal,RC-LSD FAIRLY OR VERY EASY TO OBTAIN,RECODED RISK/AVAILABILITY,Recodificada,2,3.535
APPDRGMON2,Predictor principal,RC-APPROACHED BY SOMEONE SELLING DRUGS,RECODED RISK/AVAILABILITY,Recodificada,2,0.799
SNYSELL,Predictor principal,SOLD ILLEGAL DRUGS,SOCIAL ENVIRONMENT,Original u otra,9,0.0
SNYSTOLE,Predictor principal,STOLEN/TRIED TO STEAL ANYTHING WORTH > $50,SOCIAL ENVIRONMENT,Original u otra,9,0.0
SNYATTAK,Predictor principal,ATTACKED SOMEONE W/INTENT TO SERIOUSLY HURT THEM,SOCIAL ENVIRONMENT,Original u otra,9,0.0
SNAFLMJTRY,Predictor principal,HOW YOU FEEL ABOUT ADULTS TRYING MJ/CANNABIS,SOCIAL ENVIRONMENT,Original u otra,9,0.0
SNRLGIMP,Predictor principal,MY RELIGIOUS BELIEFS ARE VERY IMPORTANT,SOCIAL ENVIRONMENT,Original u otra,8,0.0
SNRLDCSN,Predictor principal,MY RELIGIOUS BELIEFS INFLUENCE MY DECISIONS,SOCIAL ENVIRONMENT,Original u otra,8,0.0
SNRLFRND,Predictor principal,IT IS IMPORTANT THAT MY FRIENDS SHARE REL BELIEFS,SOCIAL ENVIRONMENT,Original u otra,8,0.0
PREGSTAT,Predictor principal,CURRENTLY PREGNANT (FEMALES AGED 12-50),HEALTH,Original u otra,7,0.0
HTANSWER,Predictor principal,PREFERRED WAY TO REPORT HEIGHT,HEALTH,Original u otra,6,0.0
HTINCHE2,Predictor principal,HEIGHT IN INCHES WITHOUT SHOES - RECODE,HEALTH,Original u otra,25,0.0
WTANSWER,Predictor principal,PREFERRED WAY TO REPORT WEIGHT,HEALTH,Original u otra,6,0.0
WTPOUND2,Predictor principal,WEIGHT IN POUNDS - RECODE,HEALTH,Original u otra,225,0.0
NMERTMT2,Predictor principal,# OF TIMES BEEN TREATED IN EMER ROOM PAST 12 MOS,HEALTH,Original u otra,31,0.0
INHOSPYR,Predictor principal,STAYED OVERNIGHT AS INPNT IN HOSP PAST 12 MOS,HEALTH,Original u otra,6,0.0
NMNGTHS2,Predictor principal,# NIGHTS STAYED IN HOSPITAL OVERNIGHT OR LONGER,HEALTH,Original u otra,36,0.0
NMVSOPT2,Predictor principal,# OUTPATIENT VISITS PAST 12 MOS - RECODE,HEALTH,Original u otra,24,0.0
NMVSOEST,Predictor principal,# TIMES VISITED DR ABOUT OWN HEALTH PST YR,HEALTH,Original u otra,13,0.0
TELEAPTYR,Predictor principal,TALK TO DOC ABOUT HEALTH OVER PHONE/EMAIL/VIDEO PST 12 MOS,HEALTH,Original u otra,6,0.0
HPUSETOB,Predictor principal,HEALTH PROF ASKED PST 12 MOS: TOBACCO USE,HEALTH,Original u otra,7,0.0
HPUSEALC,Predictor principal,HEALTH PROF ASKED PST 12 MOS: ALCOHOL USE,HEALTH,Original u otra,7,0.0
HPUSEDRG,Predictor principal,HEALTH PROF ASKED PST 12 MOS: DRUG USE,HEALTH,Original u otra,7,0.0
HPQTTOB,Predictor principal,HEALTH PROF ADVISED YOU TO QUIT TOBACCO USE,HEALTH,Original u otra,9,0.0
HPALCAMT2,Predictor principal,DOCTOR ASKED HOW MUCH YOU DRINK,HEALTH,Original u otra,8,0.0
HPALCFRQ2,Predictor principal,DOCTOR ASKED HOW OFTEN YOU DRINK,HEALTH,Original u otra,9,0.0
HPALCPRB2,Predictor principal,DOCTOR ASKED IF ANY DRINKING PROBS,HEALTH,Original u otra,8,0.0
HPALCCUT2,Predictor principal,DOCTOR ADVISED YOU TO CUT DOWN ON DRINKING,HEALTH,Original u otra,8,0.0
HPALCTX2,Predictor principal,DOCTOR OFFERED INFO ABOUT ALCOHOL TREATMT,HEALTH,Original u otra,8,0.0
HPALCNOT2,Predictor principal,DOCTOR DIDNT DISCUSS MY ALCOHOL USE WITH ME,HEALTH,Original u otra,8,0.0
HPDRGTALK,Predictor principal,HEALTH PROF DISCUSSED MY DRUG USE WITH ME,HEALTH,Original u otra,9,0.0
HRTCONDEV2,Predictor principal,EVER TOLD HAD HEART CONDITION,HEALTH,Original u otra,6,0.0
DIABETEVR2,Predictor principal,EVER TOLD HAD DIABETES/SUGAR DIABETES,HEALTH,Original u otra,6,0.0
COPDEVER2,Predictor principal,EVER TOLD HAD CHRONIC BRONCHITIS OR COPD,HEALTH,Original u otra,6,0.0
CIRROSEVR2,Predictor principal,EVER TOLD HAD CIRRHOSIS OF THE LIVER,HEALTH,Original u otra,6,0.0
HEPBCEVER2,Predictor principal,EVER TOLD HAD HEPATITIS B OR C,HEALTH,Original u otra,6,0.0
KIDNYDSEV2,Predictor principal,EVER TOLD HAD KIDNEY DISEASE,HEALTH,Original u otra,6,0.0
ASTHMAEVR2,Predictor principal,EVER TOLD HAD ASTHMA,HEALTH,Original u otra,6,0.0
HIVAIDSEV2,Predictor principal,EVER TOLD HAD HIV OR AIDS,HEALTH,Original u otra,6,0.0
CANCEREVR2,Predictor principal,EVER TOLD HAD CANCER,HEALTH,Original u otra,6,0.0
HIGHBPEVR2,Predictor principal,EVER TOLD HAD HIGH BLOOD PRESSURE,HEALTH,Original u otra,6,0.0
NONABOVEV2,Predictor principal,NEVER HAD ANY OF THESE CONDITIONS,HEALTH,Original u otra,6,0.0
CABLADDER,Predictor principal,TYPE OF CANCER: BLADDER,HEALTH,Original u otra,7,0.0
CABLOLEULYM,Predictor principal,TYPE OF CANCER: BLOOD/LEUKEMIA/LYMPHOMA,HEALTH,Original u otra,7,0.0
CAOTHER2,Predictor principal,TYPE OF CANCER: OTHER,HEALTH,Original u otra,7,0.0
CABREAST,Predictor principal,TYPE OF CANCER: BREAST,HEALTH,Original u otra,7,0.0
CACERVIX,Predictor principal,TYPE OF CANCER: CERVIX (FEMALES ONLY),HEALTH,Original u otra,7,0.0
CACOLNRECT,Predictor principal,TYPE OF CANCER: COLON/RECTUM,HEALTH,Original u otra,7,0.0
CAESOPSTOM,Predictor principal,TYPE OF CANCER: ESOPHAGUS/STOMACH,HEALTH,Original u otra,7,0.0
CAGALLIVPAN,Predictor principal,TYPE OF CANCER: GALLBLADDER/LIVER/PANCREAS,HEALTH,Original u otra,7,0.0
CAKIDNEY,Predictor principal,TYPE OF CANCER: KIDNEY,HEALTH,Original u otra,7,0.0
CALARYLUNG,Predictor principal,TYPE OF CANCER: LARYNX/WINDPIPE/LUNG,HEALTH,Original u otra,7,0.0
CAMELANOM,Predictor principal,TYPE OF CANCER: MELANOMA,HEALTH,Original u otra,7,0.0
CAMOUTTHRO,Predictor principal,TYPE OF CANCER: MOUTH/TONGUE/LIP/THROAT/PHARYNX,HEALTH,Original u otra,7,0.0
CAOVARY,Predictor principal,TYPE OF CANCER: OVARY (FEMALES ONLY),HEALTH,Original u otra,7,0.0
CAPROSTEST,Predictor principal,TYPE OF CANCER: PROSTATE/TESTIS (MALES ONLY),HEALTH,Original u otra,7,0.0
CASKINOTH,Predictor principal,TYPE OF CANCER: SKIN (NOT MELANOMA),HEALTH,Original u otra,7,0.0
CASKINDK,Predictor principal,TYPE OF CANCER: SKIN DON'T KNOW WHICH KIND,HEALTH,Original u otra,7,0.0
CATHYROID,Predictor principal,TYPE OF CANCER: THYROID,HEALTH,Original u otra,7,0.0
CAUTERUS,Predictor principal,TYPE OF CANCER: UTERUS (FEMALES ONLY),HEALTH,Original u otra,7,0.0
CANCERYR,Predictor principal,HAD ANY CANCER PAST 12 MONTHS,HEALTH,Original u otra,9,0.0
HRTCONDAG,Predictor principal,AGE HEART CONDITION 1ST DIAGNOSED,HEALTH,Original u otra,96,0.0
HRTCONDYR,Predictor principal,HAD HEART CONDITION PAST 12 MONTHS,HEALTH,Original u otra,8,0.0
DIABETEAG,Predictor principal,AGE DIABETES 1ST DIAGNOSED,HEALTH,Original u otra,90,0.0
COPDAGE,Predictor principal,AGE COPD 1ST DIAGNOSED,HEALTH,Original u otra,90,0.0
CIRROSAGE,Predictor principal,AGE CIRRHOSIS 1ST DIAGNOSED,HEALTH,Original u otra,59,0.0
HEPBCAGE,Predictor principal,AGE HEPATITIS 1ST DIAGNOSED,HEALTH,Original u otra,72,0.0
KIDNYDSAG,Predictor principal,AGE KIDNEY DISEASE 1ST DIAGNOSED,HEALTH,Original u otra,91,0.0
ASTHMAAGE,Predictor principal,AGE ASTHMA 1ST DIAGNOSED,HEALTH,Original u otra,85,0.0
ASTHMANOW,Predictor principal,STILL HAVE ASTHMA,HEALTH,Original u otra,7,0.0
HIVAIDSAG,Predictor principal,AGE 1ST FOUND OUT HAD HIV/AIDS,HEALTH,Original u otra,40,0.0
HIGHBPMED,Predictor principal,TAKING MEDS FOR HIGH BLOOD PRESSURE,HEALTH,Original u otra,7,0.0
HIGHBPAGE,Predictor principal,AGE WHEN HIGH BLOOD PRESSURE 1ST DIAGNOSED,HEALTH,Original u otra,93,0.0
PREGST,Predictor principal,RC-PREGNANCY STATUS OF FEMALES AGED 12-50,RECODED HEALTH,Recodificada,3,0.808
BMI2,Predictor principal,RC-BODY MASS INDEX (BMI),RECODED HEALTH,Recodificada,3067,4.757
TELEAPTYR2,Predictor principal,RC-TALK TO DOC ABOUT VIRTUAL SERVICE TREATMENT-PAST YEAR,RECODED HEALTH,Recodificada,2,2.171
CASUPROB,Predictor principal,THINK EVER HAD PROBLEM WITH OWN DRUG OR ALCOHOL USE,EMERGING ISSUES,Original u otra,6,0.0
CASURCVR,Predictor principal,THINK IN RECOVERY FROM DRUG OR ALCOHOL PROBLEM,EMERGING ISSUES,Original u otra,7,0.0
CAMHPROB,Predictor principal,THINK EVER HAD PROBLEM WITH OWN MENTAL HEALTH,EMERGING ISSUES,Original u otra,6,0.0
CAMHRCVR,Predictor principal,THINK IN RECOVERY FROM MENTAL HEALTH PROBLEM,EMERGING ISSUES,Original u otra,7,0.0
KRATEVER,Predictor principal,EVER USED KRATOM,EMERGING ISSUES,Original u otra,6,0.0
KRATREC,Predictor principal,TIME SINCE LAST USED KRATOM,EMERGING ISSUES,Original u otra,7,0.0
FLVVAPEVR,Predictor principal,EVER VAPED ONLY FLAVORING WITHOUT NICOTINE/SUBSTANCE,EMERGING ISSUES,Original u otra,6,0.0
FLVVAPREC,Predictor principal,TIME SINCE LAST VAPED ONLY FLAVORING,EMERGING ISSUES,Original u otra,7,0.0
SYNMRJEVR,Predictor principal,EVER USED SYNTHETIC MARIJUANA,EMERGING ISSUES,Original u otra,6,0.0
SYNMRJREC,Predictor principal,TIME SINCE LAST USED SYNTHETIC MARIJUANA,EMERGING ISSUES,Original u otra,7,0.0
SYNSTMEVR,Predictor principal,EVER USED SYNTHETIC STIMULANTS,EMERGING ISSUES,Original u otra,6,0.0
SYNSTMREC,Predictor principal,TIME SINCE LAST USED SYNTHETIC STIMULANTS,EMERGING ISSUES,Original u otra,7,0.0
IMFEVER,Predictor principal,EVER USED ILLEGALLY MADE FENTANYL,EMERGING ISSUES,Original u otra,6,0.0
IMFNDLEVER,Predictor principal,EVER INJECTED ILLEGALLY MADE FENTANYL WITH NEEDLE,EMERGING ISSUES,Original u otra,6,0.0
IRKRATREC,Predictor principal,KRATOM RECENCY - IMPUTATION REVISED,IMPUTED EMERGING ISSUES,Imputada,4,0.0
IRFLVVAPREC,Predictor principal,ONLY FLAVORING VAPING RECENCY - IMPUTATION REVISED,IMPUTED EMERGING ISSUES,Imputada,4,0.0
IRSYNMRJREC,Predictor principal,SYNTHETIC MARIJUANA RECENCY - IMPUTATION REVISED,IMPUTED EMERGING ISSUES,Imputada,4,0.0
IRSYNSTMREC,Predictor principal,SYNTHETIC STIMULANTS RECENCY - IMPUTATION REVISED,IMPUTED EMERGING ISSUES,Imputada,4,0.0
IRIMFREC,Predictor principal,ILLEGALLY MADE FENTANYL RECENCY - IMPUTATION REVISED,IMPUTED EMERGING ISSUES,Imputada,4,0.0
CASUPROB2,Predictor principal,RC-PERCEIVED EVER HAD DRUG OR ALCOHOL USE PROBLEM,RECODED EMERGING ISSUES,Recodificada,2,3.351
RCVYSUBPRB,Predictor principal,RC-PERCEIVED RECOVERY FROM DRUG OR ALCOHOL USE PROBLEM,RECODED EMERGING ISSUES,Recodificada,2,3.376
CAMHPROB2,Predictor principal,RC-PERCEIVED EVER HAD A MENTAL HEALTH ISSUE,RECODED EMERGING ISSUES,Recodificada,2,3.302
RCVYMHPRB,Predictor principal,RC-PERCEIVED RECOVERY FROM MENTAL HEALTH ISSUE,RECODED EMERGING ISSUES,Recodificada,2,3.546
KRATOMFLAG,Predictor principal,RC-KRATOM - EVER USED,RECODED EMERGING ISSUES,Recodificada,2,0.0
KRATOMYR,Predictor principal,RC-KRATOM - PAST YEAR USE,RECODED EMERGING ISSUES,Recodificada,2,0.0
KRATOMMON,Predictor principal,RC-KRATOM - PAST MONTH USE,RECODED EMERGING ISSUES,Recodificada,2,0.0
