variable,rol_base,etiqueta_codebook,modulo,tipo_version,n_unicos,pct_nan
NRCH17_2,Predictor principal,RECODED # R's CHILDREN < 18 IN HOUSEHOLD,HOUSEHOLD COMPOSITION (ROSTER),Original u otra,4,3.592
IRHHSIZ2,Predictor principal,RECODE - IMPUTATION-REVISED # PERSONS IN HH,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),Imputada,6,0.0
IRKI17_2,Predictor principal,RECODE - IMPUTATION-REVISED # KIDS AGED<18 IN HH,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),Imputada,4,0.0
IRHH65_2,Predictor principal,REC - IMPUTATION-REVISED # OF PER IN HH AGED>=65,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),Imputada,3,0.0
MEDICARE,Predictor principal,COVERED BY MEDICARE,HEALTH INSURANCE,Original u otra,5,0.0
CAIDCHIP,Predictor principal,COVERED BY MEDICAID/CHIP,HEALTH INSURANCE,Original u otra,6,0.0
CHAMPUS,Predictor principal,"COV BY TRICARE, CHAMPUS, CHAMPVA, VA, MILITARY",HEALTH INSURANCE,Original u otra,5,0.0
PRVHLTIN,Predictor principal,COVERED BY PRIVATE INSURANCE,HEALTH INSURANCE,Original u otra,5,0.0
GRPHLTIN,Predictor principal,PRIVATE PLAN OFFERED THROUGH EMPLOYER OR UNION,HEALTH INSURANCE,Original u otra,6,0.0
HLTINALC,Predictor principal,PRIVATE INSURANCE COVERS TRMT FOR ALCOHOL ABUSE/ALCOHOLISM,HEALTH INSURANCE,Original u otra,6,0.0
HLTINDRG,Predictor principal,PRIVATE INSURANCE COVERS TRMT FOR DRUG ABUSE,HEALTH INSURANCE,Original u otra,6,0.0
HLTINMNT,Predictor principal,PRIVATE INSURANCE COVERS TRMT FOR MENTAL/EMOTIONAL PROBLEMS,HEALTH INSURANCE,Original u otra,6,0.0
HLTINNOS,Predictor principal,COVERED BY HEALTH INSUR (NOT OTHERWISE SPECIFIED),HEALTH INSURANCE,Original u otra,6,0.0
HLCNOTYR,Predictor principal,ANYTIME DID NOT HAVE HEALTH INS/COVER PAST 12 MOS,HEALTH INSURANCE,Original u otra,7,0.0
HLCNOTMO,Predictor principal,"PAST 12 MOS, HOW MANY MOS W/O COVERAGE",HEALTH INSURANCE,Original u otra,16,0.0
HLCLAST,Predictor principal,TIME SINCE LAST HAD HEALTH CARE COVERAGE,HEALTH INSURANCE,Original u otra,9,0.0
HLLOSRSN,Predictor principal,MAIN REASON STOPPED COVERED BY HEALTH INSURANCE,HEALTH INSURANCE,Original u otra,17,0.0
HLNVCOST,Predictor principal,NEVER HAD HEALTH INSURANCE BECAUSE COST TOO HIGH,HEALTH INSURANCE,Original u otra,6,0.0
HLNVOFFR,Predictor principal,NEVER HAD HEALTH INSURANCE BECAUSE EMPLOYER DOESN'T OFFER,HEALTH INSURANCE,Original u otra,6,0.0
HLNVREF,Predictor principal,NEVER HAD HEALTH INSURANCE BC INS COMPANY REFUSED COVERAGE,HEALTH INSURANCE,Original u otra,6,0.0
HLNVNEED,Predictor principal,NEVER HAD HEALTH INSURANCE BECAUSE DON'T NEED IT,HEALTH INSURANCE,Original u otra,6,0.0
HLNVSOR,Predictor principal,NEVER HAD HEALTH INSURANCE BECAUSE OF SOME OTHER REASON,HEALTH INSURANCE,Original u otra,6,0.0
IRMEDICR,Predictor principal,MEDICARE - IMPUTATION REVISED,IMPUTED HEALTH INSURANCE,Imputada,2,0.0
IRMCDCHP,Predictor principal,MEDICAID/CHIP - IMPUTATION REVISED,IMPUTED HEALTH INSURANCE,Imputada,2,0.0
