variable,n_estados_train,n_nan_train,pct_nan_train,pct_mas_frecuente_train,modulo,tipo_variable
PNRANYYR2,2,0,0.0,77.83239514786332,RECODED DRUG USE,Binaria
OXYCNANYYR2,2,0,0.0,97.30965406062528,RECODED DRUG USE,Binaria
TRQANYFLAG,2,0,0.0,80.90594360316075,RECODED DRUG USE,Binaria
TRQANYYR,2,0,0.0,89.01398028489125,RECODED DRUG USE,Binaria
STMANYFLAG,2,0,0.0,85.29295171648299,RECODED DRUG USE,Binaria
STMANYYR,2,0,0.0,91.23655487724307,RECODED DRUG USE,Binaria
SEDANYFLAG,2,0,0.0,89.52403604746426,RECODED DRUG USE,Binaria
SEDANYYR,2,0,0.0,95.71606014958111,RECODED DRUG USE,Binaria
TQSDANYFLG,2,0,0.0,76.87835302201432,RECODED DRUG USE,Binaria
TQSDANYYR,2,0,0.0,86.63019635825471,RECODED DRUG USE,Binaria
BZOANYYR,3,45,0.11892491873463887,91.49554692248738,RECODED DRUG USE,Binaria
PSYANYFLAG2,2,0,0.0,57.90057876793784,RECODED DRUG USE,Binaria
PSYANYYR2,2,0,0.0,66.89394540024843,RECODED DRUG USE,Binaria
OPIANYYR2,2,0,0.0,79.87261819815534,RECODED DRUG USE,Binaria
CNSANYYR,2,0,0.0,89.31789952165755,RECODED DRUG USE,Binaria
PNRNMFLAG,2,0,0.0,91.03570390338011,RECODED DRUG USE,Binaria
PNRNMYR,2,0,0.0,96.87623880123681,RECODED DRUG USE,Binaria
PNRNMMON,2,0,0.0,99.1701683448294,RECODED DRUG USE,Binaria
OXYCNNMYR,2,0,0.0,99.60358360421787,RECODED DRUG USE,Binaria
TRQNMFLAG,2,0,0.0,95.97240941885357,RECODED DRUG USE,Binaria
TRQNMYR,2,0,0.0,98.35355056951822,RECODED DRUG USE,Binaria
TRQNMMON,2,0,0.0,99.51108644520204,RECODED DRUG USE,Binaria
STMNMFLAG,2,0,0.0,95.0844366923016,RECODED DRUG USE,Binaria
STMNMYR,2,0,0.0,98.1923412352335,RECODED DRUG USE,Binaria
STMNMMON,2,0,0.0,99.47144480562383,RECODED DRUG USE,Binaria
SEDNMFLAG,2,0,0.0,97.89899310235471,RECODED DRUG USE,Binaria
SEDNMYR,2,0,0.0,99.68022410740241,RECODED DRUG USE,Binaria
SEDNMMON,2,0,0.0,99.89693173709665,RECODED DRUG USE,Binaria
TQSDNMFLAG,2,0,0.0,95.15050609159861,RECODED DRUG USE,Binaria
TQSDNMYR,2,0,0.0,98.13420016385211,RECODED DRUG USE,Binaria
TQSDNMMON,2,0,0.0,99.43180316604561,RECODED DRUG USE,Binaria
BZONMYR,3,8,0.02114220777504691,98.52797378366236,RECODED DRUG USE,Binaria
PSYCHFLAG,2,0,0.0,87.58159570813181,RECODED DRUG USE,Binaria
PSYCHYR,2,0,0.0,94.52681096223473,RECODED DRUG USE,Binaria
PSYCHMON,2,0,0.0,98.37469277729328,RECODED DRUG USE,Binaria
OPINMYR2,2,0,0.0,96.88945268109622,RECODED DRUG USE,Binaria
OPINMMON2,2,0,0.0,99.12259837733556,RECODED DRUG USE,Binaria
HERRXOPYR,4,0,0.0,96.88945268109622,RECODED DRUG USE,Categórica con pocas categorías
CNSNMYR,2,0,0.0,95.90105446761278,RECODED DRUG USE,Binaria
CNSNMMON,2,0,0.0,98.2874811702212,RECODED DRUG USE,Binaria
ILLFLAG,2,0,0.0,56.576548006025526,RECODED DRUG USE,Binaria
ILLYR,2,0,0.0,68.72803192473374,RECODED DRUG USE,Binaria
ILLMON,2,0,0.0,79.07978540659109,RECODED DRUG USE,Binaria
MJONLYFLAG2,2,0,0.0,74.79056000422844,RECODED DRUG USE,Binaria
MJONLYYR2,2,0,0.0,79.48148735431697,RECODED DRUG USE,Binaria
MJONLYMON2,2,0,0.0,83.00430772483416,RECODED DRUG USE,Binaria
ILLEMFLAG2,2,0,0.0,68.63289198974603,RECODED DRUG USE,Binaria
ILLEMYR2,2,0,0.0,89.24654457041676,RECODED DRUG USE,Binaria
ILLEMMON2,2,0,0.0,96.07547768175692,RECODED DRUG USE,Binaria
CDUFLAG,2,0,0.0,73.87615951795766,RECODED DRUG USE,Binaria
DCIGMON,2,0,0.0,92.86979042786542,RECODED DRUG USE,Binaria
CDCGMO,2,0,0.0,88.92676867781918,RECODED DRUG USE,Binaria
CDNOCGMO,2,0,0.0,84.94939084013848,RECODED DRUG USE,Binaria
BNGDRKMON,2,0,0.0,76.12780464600016,RECODED DRUG USE,Binaria
HVYDRKMON,2,0,0.0,93.99032743994292,RECODED DRUG USE,Binaria
ILTOBALCFG,2,0,0.0,86.93675837099289,RECODED DRUG USE,Binaria
ILTOBALCYR,2,0,0.0,75.17376252015117,RECODED DRUG USE,Binaria
ILTOBALCMN,2,0,0.0,61.70089061550252,RECODED DRUG USE,Binaria
ILTOBVAPALC,2,0,0.0,63.778112529400886,RECODED DRUG USE,Binaria
ILLALCMON,2,0,0.0,57.2848119664896,RECODED DRUG USE,Binaria
TOBALCFLG,2,0,0.0,85.36959221966754,RECODED DRUG USE,Binaria
TOBALCYR,2,0,0.0,72.4622743730014,RECODED DRUG USE,Binaria
TOBALCMN,2,0,0.0,57.82922381669706,RECODED DRUG USE,Binaria
ILLANDALC,2,0,0.0,73.39781706704723,RECODED DRUG USE,Binaria
ILLORALC,2,0,0.0,72.3248500224636,RECODED DRUG USE,Binaria
ILLALCFLG,2,0,0.0,85.2770950606517,RECODED DRUG USE,Binaria
PEYOTEEVER,3,10,0.026427759718808636,98.58611485504373,RECODED DRUG USE,Binaria
MESCEVER,3,16,0.04228441555009382,98.1896984592616,RECODED DRUG USE,Binaria
