variable_1,variable_2,n_comunes,correlacion_spearman,correlacion_absoluta
BMI2,CIGAGLST,13142,0.09757685481405899,0.09757685481405899
ALCYLU,ECSTMOAGL,551,-0.09585260591238536,0.09585260591238536
HIGHBPAGE,NMERTMT2,3951,-0.0940026217569654,0.0940026217569654
ASTHMAAGE,HALLAGLST,878,0.09378005837836811,0.09378005837836811
CIGAGLST,WTPOUND2,13185,0.093440835804639,0.093440835804639
BMI2,CIGDLLST,6707,0.09315810015100649,0.09315810015100649
CIGAVGM,WRKNJBWKS,533,0.09315355195527777,0.09315355195527777
MRJAGLST,NMVSOPT2,11308,0.09245296237409838,0.09245296237409838
HERAGLST,HTINCHE2,743,0.0912781839228843,0.0912781839228843
CGRAGLST,NMNGTHS2,639,0.09107107467788152,0.09107107467788152
ALCNUMDKPM,MRJAGLST,6979,0.09067815314413145,0.09067815314413145
NMVSOPT2,WRKNJBWKS,3178,0.09054093033680033,0.09054093033680033
BMI2,NMNGTHS2,2584,0.09046121024355543,0.09046121024355543
COCAGLST,COCYLU,651,0.08969616481244745,0.08969616481244745
ALCYLU,WRKLASTYR2,2155,0.08909032366889881,0.08909032366889881
CRKAGLST,NMVSOPT2,1003,0.08886945949426438,0.08886945949426438
NRCH17_2,WRKDHRSWK2,18912,0.08876838610409524,0.08876838610409524
ASTHMAAGE,INHLAGLST,563,0.08845453127518496,0.08845453127518496
CGRAGLST,CIGARYLU,1799,0.08822840102417444,0.08822840102417444
ALCNUMDKPM,EDUSKPCOM,1356,0.08808395210753742,0.08808395210753742
WRKNJBWKS,WRKSKIPMO,672,0.08676629138377112,0.08676629138377112
HALLAGLST,HIGHBPAGE,637,-0.08599702514328618,0.08599702514328618
CIGAGLST,WRKDHRSWK2,7831,0.08582955463507627,0.08582955463507627
NMNGTHS2,WTPOUND2,2602,0.08559847259084813,0.08559847259084813
BMI2,NRCH17_2,33000,0.085209451626874,0.085209451626874
NMERTMT2,PCPAGLST,519,0.08452772661370671,0.08452772661370671
HALLAGLST,HRTCONDAG,509,0.08294461798324655,0.08294461798324655
SMKAGLAST,WTPOUND2,3728,0.08267174188124667,0.08267174188124667
ALCAGLST,WRKSKIPMO,914,-0.08207251415832714,0.08207251415832714
WRKDHRSWK2,WRKSKIPMO,2864,-0.08200312509339794,0.08200312509339794
ASTHMAAGE,BMI2,4156,0.08122457070411034,0.08122457070411034
EDUSCKMON,HTINCHE2,942,-0.08093424721519217,0.08093424721519217
ECSTMOAGL,HTINCHE2,3061,0.08089399989025983,0.08089399989025983
BMI2,NMVSOPT2,34562,0.08089329494048332,0.08089329494048332
HALLAGLST,WTPOUND2,6263,0.08059164364629982,0.08059164364629982
CIGDLYLU,WTPOUND2,927,-0.07970645187640807,0.07970645187640807
CIGAGLST,HALLYRLST,790,0.07912538746201056,0.07912538746201056
PCPAGLST,WTPOUND2,516,0.07731274592139648,0.07731274592139648
NRCH17_2,SMKYRLAST,536,-0.07701822524562468,0.07701822524562468
