orden,variable,etiqueta_variable,modulo,tipo_dato,usa_ml,usa_dl
233,UADBUND,RC-AGE PERSON WHO PURCHASED ALC FOR UNDERAGE DRINKER,RECODED CONSUMPTION OF ALCOHOL,float64,False,True
234,UADCAG,RC-WHO PURCHASED UNDERAGE DRINKER MOST RECENT ALCOHOL,RECODED CONSUMPTION OF ALCOHOL,float64,False,True
235,UADFWHO,RC-WHO GAVE UNDERAGE DRINKER MOST RECENT ALCOHOL,RECODED CONSUMPTION OF ALCOHOL,float64,False,True
236,UADFRD,"RC-MOST RECENT ALCOHOL FROM FRIEND, UNSPEC AGE/METHOD",RECODED CONSUMPTION OF ALCOHOL,float64,False,True
237,CADRKMARJ2,RC-USED MARIJUANA WITH LAST ALCOHOL USE,RECODED CONSUMPTION OF ALCOHOL,float64,False,True
238,CADRKCOCN2,RC-USED COCAINE WITH LAST ALCOHOL USE,RECODED CONSUMPTION OF ALCOHOL,float64,False,True
239,CADRKHERN2,RC-USED HEROIN WITH LAST ALCOHOL USE,RECODED CONSUMPTION OF ALCOHOL,float64,False,True
240,CADRKHALL2,RC-USED HALLUCINOGENS WITH LAST ALCOHOL USE,RECODED CONSUMPTION OF ALCOHOL,float64,False,True
241,CADRKINHL2,RC-USED INHALANTS WITH LAST ALCOHOL USE,RECODED CONSUMPTION OF ALCOHOL,float64,False,True
242,CADRKMETH2,RC-USED METHAMPHETAMINE WITH LAST ALCOHOL USE,RECODED CONSUMPTION OF ALCOHOL,float64,False,True
243,CIGFLAG,RC-CIGARETTES - EVER USED,RECODED DRUG USE,int64,False,True
244,CIGYR,RC-CIGARETTES - PAST YEAR USE,RECODED DRUG USE,int64,False,True
245,CIGMON,RC-CIGARETTES - PAST MONTH USE,RECODED DRUG USE,int64,False,True
246,CGRFLAG,RC-CIGARS - EVER USED,RECODED DRUG USE,int64,False,True
247,CGRYR,RC-CIGARS - PAST YEAR USE,RECODED DRUG USE,int64,False,True
248,CGRMON,RC-CIGARS - PAST MONTH USE,RECODED DRUG USE,int64,False,True
249,PIPFLAG,RC-PIPES - EVER USED,RECODED DRUG USE,int64,False,True
250,PIPMON,RC-PIPES - PAST MONTH USE,RECODED DRUG USE,int64,False,True
251,SMKLSSFLAG,RC-SMOKELESS TOBACCO - EVER USED,RECODED DRUG USE,int64,False,True
252,SMKLSSYR,RC-SMOKELESS TOBACCO - PAST YEAR USE,RECODED DRUG USE,int64,False,True
253,SMKLSSMON,RC-SMOKELESS TOBACCO - PAST MONTH USE,RECODED DRUG USE,int64,False,True
254,TOBCIGONL,RC-CIGARETTE/NONCIGARETTE TOBACCO ONLY - PAST MONTH USE,RECODED DRUG USE,int64,False,True
255,TOBFLAG,RC-ANY TOBACCO - EVER USED,RECODED DRUG USE,int64,False,True
256,TOBYR,RC-ANY TOBACCO - PAST YEAR USE,RECODED DRUG USE,int64,False,True
257,TOBMON,RC-ANY TOBACCO - PAST MONTH USE,RECODED DRUG USE,int64,False,True
258,NICVAPFLAG,RC-NICOTINE VAPING - EVER USED,RECODED DRUG USE,int64,True,True
259,NICVAPYR,RC-NICOTINE VAPING - PAST YEAR USE,RECODED DRUG USE,int64,True,True
260,NICVAPMON,RC-NICOTINE VAPING - PAST MONTH USE,RECODED DRUG USE,int64,False,True
261,TOBVNICFLAG,RC-ANY TOBACCO PRODUCTS OR NICOTINE VAPING - EVER USED,RECODED DRUG USE,int64,False,True
262,TOBVNICYR,RC-ANY TOBACCO PRODUCTS OR NICOTINE VAPING - PAST YEAR USE,RECODED DRUG USE,int64,False,True
263,TOBVNICMON,RC-ANY TOBACCO PRODUCTS OR NICOTINE VAPING - PAST MONTH USE,RECODED DRUG USE,int64,False,True
264,TOBVAPONL2,RC-NIC VAPING / TOBACCO PRODUCTS ONLY - PAST MONTH USE,RECODED DRUG USE,int64,True,True
265,TOBCIGVAP2,RC-NIC VAPING AND CIG/NONCIG TOBACCO COMBINATIONS-PM USE,RECODED DRUG USE,int64,False,True
266,ALCFLAG,RC-ALCOHOL - EVER USED,RECODED DRUG USE,int64,False,True
267,ALCYR,RC-ALCOHOL - PAST YEAR USE,RECODED DRUG USE,int64,False,True
268,ALCMON,RC-ALCOHOL - PAST MONTH USE,RECODED DRUG USE,int64,False,True
269,CBDHMPFLAG,RC-CBD OR HEMP - EVER USED,RECODED DRUG USE,int64,True,True
270,CBDHMPYR,RC-CBD OR HEMP - PAST YEAR USE,RECODED DRUG USE,int64,False,True
271,CBDHMPMON,RC-CBD OR HEMP - PAST MONTH USE,RECODED DRUG USE,int64,False,True
272,MRJFLAG,RC-MARIJUANA - EVER USED,RECODED DRUG USE,int64,True,True
273,MRJYR,RC-MARIJUANA - PAST YEAR USE,RECODED DRUG USE,int64,False,True
274,MRJMON,RC-MARIJUANA - PAST MONTH USE,RECODED DRUG USE,int64,False,True
275,MJSMKYR,RC-MARIJUANA SMOKING - PAST YEAR USE,RECODED DRUG USE,int64,True,True
276,MJVAPFLAG,RC-MARIJUANA VAPING - EVER USED,RECODED DRUG USE,int64,True,True
277,MJVAPYR,RC-MARIJUANA VAPING - PAST YEAR USE,RECODED DRUG USE,int64,False,True
278,MJDABYR,"RC-MARIJUANA DABBING WAXES, SHATTER, OR CONC - PAST YEAR USE",RECODED DRUG USE,int64,False,True
279,MJEATYR,RC-MARIJUANA EATING OR DRINKING - PAST YEAR USE,RECODED DRUG USE,int64,False,True
280,MJMTHYR,RC-MARIJUANA DRPS/STRPS/LZNGS/SPRYS IN MOUTH - PAST YEAR USE,RECODED DRUG USE,int64,False,True
281,MJSKNYR,RC-MARIJUANA LOTION/CREAM/PATCH TO SKIN - PAST YEAR USE,RECODED DRUG USE,int64,False,True
282,MJPLLYR,RC-MARIJUANA PILLS - PAST YEAR USE,RECODED DRUG USE,int64,False,True
283,MJOTHYR,RC-MARIJUANA USE - SOME OTHER MODE - PAST YEAR,RECODED DRUG USE,int64,False,True
284,MJCMOTHYR,RC-COMBINED OTHER MARIJUANA MODES - PAST YEAR USE,RECODED DRUG USE,int64,False,True
285,MJSMKMON,RC-MARIJUANA SMOKING - PAST MONTH USE,RECODED DRUG USE,int64,False,True
286,MJVAPMON,RC-MARIJUANA VAPING - PAST MONTH USE,RECODED DRUG USE,int64,False,True
287,MRJMONVAP2,"RC-MRJ VAPE, MRJ USE BUT NOT VAPE, OR NO MRJ USE - PAST MON",RECODED DRUG USE,int64,True,True
288,MJDABMON,"RC-MARIJUANA DABBING WAXES, SHATTER, OR CONC-PAST MONTH USE",RECODED DRUG USE,int64,False,True
289,MJEATMON,RC-MARIJUANA EATING OR DRINKING - PAST MONTH USE,RECODED DRUG USE,int64,False,True
290,MJMTHMON,RC-MARIJUANA DRPS/STRPS/LZNGS/SPRYS IN MOUTH-PAST MONTH USE,RECODED DRUG USE,int64,False,True
291,MJSKNMON,RC-MARIJUANA LOTION/CREAM/PATCH TO SKIN - PAST MONTH USE,RECODED DRUG USE,int64,False,True
292,MJPLLMON,RC-MARIJUANA PILLS - PAST MONTH USE,RECODED DRUG USE,int64,False,True
293,MJCMOTHMON,RC-COMBINED OTHER MARIJUANA MODES - PAST MONTH USE,RECODED DRUG USE,int64,False,True
294,COCFLAG,RC-COCAINE - EVER USED,RECODED DRUG USE,int64,False,True
295,COCYR,RC-COCAINE - PAST YEAR USE,RECODED DRUG USE,int64,False,True
296,COCMON,RC-COCAINE - PAST MONTH USE,RECODED DRUG USE,int64,False,True
297,CRKFLAG,"RC-""CRACK"" - EVER USED",RECODED DRUG USE,int64,False,True
298,CRKYR,"RC-""CRACK"" - PAST YEAR USE",RECODED DRUG USE,int64,False,True
299,CRKMON,"RC-""CRACK"" - PAST MONTH USE",RECODED DRUG USE,int64,False,True
300,HERFLAG,RC-HEROIN - EVER USED,RECODED DRUG USE,int64,False,True
301,HERYR,RC-HEROIN - PAST YEAR USE,RECODED DRUG USE,int64,False,True
302,HERMON,RC-HEROIN - PAST MONTH USE,RECODED DRUG USE,int64,False,True
303,HALLUCFLAG,RC-HALLUCINOGENS - EVER USED,RECODED DRUG USE,int64,False,True
304,HALLUCYR,RC-HALLUCINOGENS - PAST YEAR USE,RECODED DRUG USE,int64,False,True
305,HALLUCMON,RC-HALLUCINOGENS - PAST MONTH USE,RECODED DRUG USE,int64,False,True
306,LSDFLAG,RC-LSD - EVER USED,RECODED DRUG USE,int64,False,True
307,LSDYR,RC-LSD - PAST YEAR USE,RECODED DRUG USE,int64,False,True
308,LSDMON,RC-LSD - PAST MONTH USE,RECODED DRUG USE,int64,False,True
309,PCPFLAG,RC-PCP - EVER USED,RECODED DRUG USE,int64,False,True
310,PCPYR,RC-PCP - PAST YEAR USE,RECODED DRUG USE,int64,False,True
311,PCPMON,RC-PCP - PAST MONTH USE,RECODED DRUG USE,int64,False,True
312,PSILCYFLAG,RC-PSILOCYBIN - EVER USED,RECODED DRUG USE,int64,False,True
313,PSILCYYR,RC-PSILOCYBIN - PAST YEAR USE,RECODED DRUG USE,int64,False,True
314,PSILCYMON,RC-PSILOCYBIN - PAST MONTH USE,RECODED DRUG USE,int64,False,True
315,ECSTMOFLAG,RC-ECSTASY - EVER USED,RECODED DRUG USE,int64,False,True
316,ECSTMOYR,RC-ECSTASY - PAST YEAR USE,RECODED DRUG USE,int64,False,True
317,ECSTMOMON,RC-ECSTASY - PAST MONTH USE,RECODED DRUG USE,int64,False,True
318,DAMTFXFLAG,RC-DMT/AMT/FOXY - EVER USED,RECODED DRUG USE,int64,False,True
319,DAMTFXYR,RC-DMT/AMT/FOXY - PAST YEAR USE,RECODED DRUG USE,int64,False,True
320,DAMTFXMON,RC-DMT/AMT/FOXY - PAST MONTH USE,RECODED DRUG USE,int64,False,True
321,KETMINFLAG,RC-KETAMINE - EVER USED,RECODED DRUG USE,int64,False,True
322,KETMINYR,RC-KETAMINE - PAST YEAR USE,RECODED DRUG USE,int64,False,True
323,KETMINMON,RC-KETAMINE - PAST MONTH USE,RECODED DRUG USE,int64,False,True
324,SALVIAFLAG,RC-SALVIA - EVER USED,RECODED DRUG USE,int64,False,True
325,SALVIAYR,RC-SALVIA - PAST YEAR USE,RECODED DRUG USE,int64,False,True
326,SALVIAMON,RC-SALVIA - PAST MONTH USE,RECODED DRUG USE,int64,False,True
327,INHALFLAG2,RC-INHALANTS - EVER USED,RECODED DRUG USE,int64,False,True
328,INHALYR2,RC-INHALANTS - PAST YEAR USE,RECODED DRUG USE,int64,False,True
329,INHALMON2,RC-INHALANTS - PAST MONTH USE,RECODED DRUG USE,int64,False,True
330,METHAMFLAG,RC-METHAMPHETAMINE - EVER USED,RECODED DRUG USE,int64,False,True
331,METHAMYR,RC-METHAMPHETAMINE - PAST YEAR USE,RECODED DRUG USE,int64,False,True
332,METHAMMON,RC-METHAMPHETAMINE - PAST MONTH USE,RECODED DRUG USE,int64,False,True
333,PNRANYFLAG2,RC-ANY PAIN RELIEVER - EVER USED,RECODED DRUG USE,int64,False,True
334,PNRANYYR2,RC-ANY PAIN RELIEVER - PAST YEAR USE,RECODED DRUG USE,int64,False,True
335,OXYCNANYYR2,RC-OXYCONTIN - PAST YEAR USE,RECODED DRUG USE,int64,False,True
336,TRQANYFLAG,RC-ANY TRANQUILIZERS - EVER USED,RECODED DRUG USE,int64,False,True
337,TRQANYYR,RC-ANY TRANQUILIZERS - PAST YEAR USE,RECODED DRUG USE,int64,False,True
338,STMANYFLAG,RC-ANY STIMULANTS - EVER USED,RECODED DRUG USE,int64,True,True
339,STMANYYR,RC-ANY STIMULANTS - PAST YEAR USE,RECODED DRUG USE,int64,False,True
340,SEDANYFLAG,RC-ANY SEDATIVES - EVER USED,RECODED DRUG USE,int64,False,True
341,SEDANYYR,RC-ANY SEDATIVES - PAST YEAR USE,RECODED DRUG USE,int64,False,True
342,TQSDANYFLG,RC-ANY TRANQUILIZERS OR SEDATIVES - EVER USED,RECODED DRUG USE,int64,True,True
343,TQSDANYYR,RC-ANY TRANQUILIZERS OR SEDATIVES - PAST YEAR USE,RECODED DRUG USE,int64,False,True
344,BZOANYYR,RC - ANY BENZODIAZEPINES - PAST YEAR USE,RECODED DRUG USE,float64,False,True
345,PSYANYFLAG2,RC-ANY PSYCHOTHERAPEUTICS - EVER USED,RECODED DRUG USE,int64,False,True
346,PSYANYYR2,RC-ANY PSYCHOTHERAPEUTICS - PAST YEAR USE,RECODED DRUG USE,int64,False,True
347,OPIANYYR2,RC-ANY OPIOIDS (RX OPIOIDS OR HEROIN) - PAST YEAR USE,RECODED DRUG USE,int64,False,True
348,CNSANYYR,RC-ANY CENTRAL NERVOUS SYSTEM STIMULANTS - PAST YEAR USE,RECODED DRUG USE,int64,False,True
349,PNRNMFLAG,RC-PAIN RELIEVERS - EVER MISUSED,RECODED DRUG USE,int64,False,True
350,PNRNMYR,RC-PAIN RELIEVERS - PAST YEAR MISUSE,RECODED DRUG USE,int64,False,True
351,PNRNMMON,RC-PAIN RELIEVERS - PAST MONTH MISUSE,RECODED DRUG USE,int64,False,True
352,OXYCNNMYR,RC-OXYCONTIN - PAST YEAR MISUSE,RECODED DRUG USE,int64,False,True
353,TRQNMFLAG,RC-TRANQUILIZERS - EVER MISUSED,RECODED DRUG USE,int64,False,True
354,TRQNMYR,RC-TRANQUILIZERS - PAST YEAR MISUSE,RECODED DRUG USE,int64,False,True
355,TRQNMMON,RC-TRANQUILIZERS - PAST MONTH MISUSE,RECODED DRUG USE,int64,False,True
356,STMNMFLAG,RC-STIMULANTS - EVER MISUSED,RECODED DRUG USE,int64,False,True
357,STMNMYR,RC-STIMULANTS - PAST YEAR MISUSE,RECODED DRUG USE,int64,False,True
358,STMNMMON,RC-STIMULANTS - PAST MONTH MISUSE,RECODED DRUG USE,int64,False,True
359,SEDNMFLAG,RC-SEDATIVES - EVER MISUSED,RECODED DRUG USE,int64,False,True
360,SEDNMYR,RC-SEDATIVES - PAST YEAR MISUSE,RECODED DRUG USE,int64,False,True
361,SEDNMMON,RC-SEDATIVES - PAST MONTH MISUSE,RECODED DRUG USE,int64,False,True
362,TQSDNMFLAG,RC-TRANQUILIZERS OR SEDATIVES - EVER MISUSED,RECODED DRUG USE,int64,False,True
363,TQSDNMYR,RC-TRANQUILIZERS OR SEDATIVES - PAST YEAR MISUSE,RECODED DRUG USE,int64,False,True
364,TQSDNMMON,RC-TRANQUILIZERS OR SEDATIVES - PAST MONTH MISUSE,RECODED DRUG USE,int64,False,True
365,BZONMYR,RC - ANY BENZODIAZEPINES - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
366,PSYCHFLAG,RC-ANY PSYCHOTHERAPEUTICS - EVER MISUSED,RECODED DRUG USE,int64,False,True
367,PSYCHYR,RC-ANY PSYCHOTHERAPEUTICS - PAST YEAR MISUSE,RECODED DRUG USE,int64,False,True
368,PSYCHMON,RC-ANY PSYCHOTHERAPEUTICS - PAST MONTH MISUSE,RECODED DRUG USE,int64,False,True
369,OPINMYR2,RC-OPIOIDS (RX OPIOIDS OR HEROIN) - PAST YEAR MISUSE,RECODED DRUG USE,int64,False,True
370,OPINMMON2,RC-OPIOIDS (RX OPIOIDS OR HEROIN) - PAST MONTH MISUSE,RECODED DRUG USE,int64,False,True
371,HERRXOPYR,RC-HEROIN USE AND/OR RX OPIOID MISUSE - PAST YEAR,RECODED DRUG USE,int64,False,True
372,CNSNMYR,RC-CENTRAL NERVOUS SYSTEM STIMULANTS - PAST YEAR MISUSE,RECODED DRUG USE,int64,False,True
373,CNSNMMON,RC-CENTRAL NERVOUS SYSTEM STIMULANTS - PAST MONTH MISUSE,RECODED DRUG USE,int64,False,True
374,ILLFLAG,RC-ANY ILLICIT DRUG - EVER USED,RECODED DRUG USE,int64,True,True
375,ILLYR,RC-ANY ILLICIT DRUG - PAST YEAR USE,RECODED DRUG USE,int64,True,True
376,ILLMON,RC-ANY ILLICIT DRUG - PAST MONTH USE,RECODED DRUG USE,int64,True,True
377,MJONLYFLAG2,RC-MARIJUANA ONLY - EVER USED,RECODED DRUG USE,int64,False,True
378,MJONLYYR2,RC-MARIJUANA ONLY - PAST YEAR USE,RECODED DRUG USE,int64,False,True
379,MJONLYMON2,RC-MARIJUANA ONLY - PAST MONTH USE,RECODED DRUG USE,int64,False,True
380,ILLEMFLAG2,RC-ILLICIT DRUG OTHER THAN MARIJUANA - EVER USED,RECODED DRUG USE,int64,True,True
381,ILLEMYR2,RC-ILLICIT DRUG OTHER THAN MARIJUANA - PAST YEAR,RECODED DRUG USE,int64,False,True
382,ILLEMMON2,RC-ILLICIT DRUG OTHER THAN MARIJUANA-PAST MONTH,RECODED DRUG USE,int64,False,True
383,CDUFLAG,RC-CIGARETTES DAILY - EVER USED,RECODED DRUG USE,int64,False,True
384,DCIGMON,RC-PAST MONTH DAILY CIGARETTE USE,RECODED DRUG USE,int64,False,True
385,CDCGMO,RC-EVER USED CIG DAILY AND PAST MONTH CIG USE,RECODED DRUG USE,int64,False,True
386,CDNOCGMO,RC-EVER USED CIG DAILY AND NO PAST MONTH CIG USE,RECODED DRUG USE,int64,False,True
387,BNGDRKMON,RC-BINGE ALCOHOL USE PAST 30 DAYS,RECODED DRUG USE,int64,False,True
388,HVYDRKMON,RC-HEAVY ALCOHOL USE PAST 30 DAYS,RECODED DRUG USE,int64,False,True
389,ILTOBALCFG,"RC-ILLICIT DRUG, TOBACCO PRD, OR ALCOHOL - EVER USED",RECODED DRUG USE,int64,False,True
390,ILTOBALCYR,"RC-ILLICIT DRUG, TOBACCO PRD, OR ALCOHOL - PAST YEAR USE",RECODED DRUG USE,int64,False,True
391,ILTOBALCMN,"RC-ILLICIT DRUG, TOBACCO PRD, OR ALC - PAST MONTH USE",RECODED DRUG USE,int64,False,True
392,ILTOBVAPALC,"RC-TOBACCO, NICOTINE VAPING, ALCOHOL, ILLICIT DRUG - PST MON",RECODED DRUG USE,int64,False,True
393,ILLALCMON,RC-ILLICIT DRUG OR ALCOHOL - PAST MONTH USE,RECODED DRUG USE,int64,False,True
394,TOBALCFLG,RC-TOBACCO PRODUCT OR ALCOHOL - EVER USED,RECODED DRUG USE,int64,False,True
395,TOBALCYR,RC-TOBACCO PRODUCT OR ALCOHOL - PAST YEAR USE,RECODED DRUG USE,int64,False,True
396,TOBALCMN,RC-TOBACCO PRODUCT OR ALCOHOL - PAST MONTH USE,RECODED DRUG USE,int64,False,True
397,ILLANDALC,RC-ILLICIT DRUG AND ALCOHOL USE - PAST YEAR USE,RECODED DRUG USE,int64,True,True
398,ILLORALC,RC-ILLICIT DRUG OR ALCOHOL USE - PAST YEAR USE,RECODED DRUG USE,int64,False,True
399,ILLALCFLG,RC-ILLICIT DRUG OR ALCOHOL - EVER USED,RECODED DRUG USE,int64,False,True
400,PEYOTEEVER,RC-EVER USED PEYOTE,RECODED DRUG USE,float64,False,True
401,MESCEVER,RC-EVER USED MESCALINE,RECODED DRUG USE,float64,False,True
402,AMYLNIEVER2,"RC-EVER INHALED AMYL NITRITE, ""POPPERS"", RUSH, ETC.",RECODED DRUG USE,float64,False,True
403,CLEFLUEVER2,"RC-EVER INHALED CORRECTION FLUID, DEGREASER, ETC.",RECODED DRUG USE,float64,False,True
404,GASEVER2,RC-EVER INHALED GASOLINE OR LIGHTER FLUID,RECODED DRUG USE,float64,False,True
405,GLUEEVER2,"RC-EVER INHALED GLUE, SHOE POLISH, OR TOLUENE",RECODED DRUG USE,float64,False,True
406,ETHEREVER2,"RC-EVER INHALED HALOTHANE, ETHER, OR OTHER ANESTHETIC",RECODED DRUG USE,float64,False,True
407,SOLVENEVER2,"RC-EVER INHALED LACQUER THINNER, OTHER PAINT SOLVENTS",RECODED DRUG USE,float64,False,True
408,LGASEVER2,"RC-EVER INHALED LIGHTER GASES (BUTANE, PROPANE)",RECODED DRUG USE,float64,False,True
409,NITOXIEVER2,"RC-EVER INHALED NITROUS OXIDE OR ""WHIPPITS""",RECODED DRUG USE,float64,False,True
410,FLTMRKEVER2,RC-EVER USED FELT-TIP PENS/MARKERS TO GET HIGH,RECODED DRUG USE,float64,False,True
411,SPAINTEVER2,RC-EVER INHALED SPRAY PAINTS,RECODED DRUG USE,float64,False,True
412,AIRDUSEVER2,RC-EVER USED COMPUTER CLEANER/AIR DUSTER TO GET HIGH,RECODED DRUG USE,float64,False,True
413,OTHAEREVER2,RC-EVER USED OTHER AEROSOL SPRAY,RECODED DRUG USE,float64,False,True
414,RXHYDCANY2,RC-HYDROCODONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
415,RXZOHYANY2,RC-ZOHYDRO ER - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
416,RXOXCOANY2,RC-OXYCODONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
417,RXTRAMANY2,RC-TRAMADOL PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
418,RXCODEANY2,RC-CODEINE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
419,RXMORPANY2,RC-MORPHINE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
420,RXBUPRANY2,RC-BUPRENORPHINE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
421,RXOXYMANY2,RC-OXYMORPHONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
422,RXDEMEANY2,RC-DEMEROL PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
423,RXHYDMANY2,RC-HYDROMORPHONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
424,RXMTDNANY2,RC-METHADONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
425,OTHRPNRANY2,RC-OTHER PAIN RELIEVER PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
426,RXBZOTANY,RC-BENZODIAZEPINE TRANQUILIZERS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
427,RXALPRANY,RC-ALPRAZOLEM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
428,RXLORAANY,RC-LORAZEPAM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
429,RXCLONANY,RC-CLONAZEP AM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
430,RXDIAZANY,RC-DIAZEPAM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
431,RXMRLXANY,RC-MUSCLE RELAXANTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
432,RXCYCLANY,RC-CYCLOBENZAPRINE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
433,RXSOMAANY,RC-SOMA PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
434,OTHRTRQANY,RC-OTHER TRANQUILIZER- ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
435,RXAMMEANY,RC-AMPHETAMINE OR METHYLPHENIDATE PRODS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
436,RXAMPHANY,RC-AMPHETAMINE - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
437,RXMTHPANY,RC-METHYLPHENIDATE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
438,RXANORANY,RC-ANORECTIC STIMULANTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
439,RXPROVANY,RC-PROVIGIL PRODUCTS- ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
440,OTHRSTMANY,RC-OTHER STIMULANT - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
441,RXZOLPANY,RC-ZOLPIDEM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
442,RXESZOANY,RC-ESZOPICLONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
443,RXZALEANY,RC-ZALEPLON PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
444,RXBZOSANY,RC-BENZODIAZEPINE SEDATIVES - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
445,RXTRIAANY,RC-TRIAZOLAM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
446,RXTEMAANY,RC-TEMAZEPAM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
447,RXFLURANY,RC-FLURAZEPAM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
448,RXBARBANY,RC-BARBITUATES - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
449,OTHRSEDANY,RC-OTHER SEDATIVE - ANY PAST YEAR USE,RECODED DRUG USE,float64,False,True
450,RXHYDCMIS,RC-HYDROCODONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
451,RXZOHYMIS,RC-ZOHYDRO ER - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
452,RXOXCOMIS,RC-OXYCODONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
453,RXTRAMMIS,RC-TRAMADOL PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
454,RXCODEMIS,RC-CODEINE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
455,RXMORPMIS,RC-MORPHINE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
456,RXBUPRMIS,RC-BUPRENORPHINE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
457,RXOXYMMIS,RC-OXYMORPHONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
458,RXDEMEMIS,RC-DEMEROL PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
459,RXHYDMMIS,RC-HYDROMORPHONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
460,RXMTDNMIS,RC-METHADONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
461,OTHRPNRMIS,RC-OTHER PAIN RELIEVER PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
462,RXBZOTMIS,RC-BENZODIAZEPINE TRANQUILIZERS - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
463,RXALPRMIS,RC-ALPRAZOLEM PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
464,RXLORAMIS,RC-LORAZEPAM PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
465,RXCLONMIS,RC-CLONAZEPAM PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
466,RXDIAZMIS,RC-DIAZEPAM PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
467,RXMRLXMIS,RC-MUSCLE RELAXANTS - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
468,RXCYCLMIS,RC-CYCLOBENZAPRINE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
469,RXSOMAMIS,RC-SOMA PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
470,OTHRTRQMIS,RC-OTHER TRANQUILIZER PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
471,RXAMMEMIS,RC-AMPHETAMINE OR METHYLPHENIDATE PRODS - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
472,RXAMPHMIS,RC-AMPHETAMINE - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
473,RXMTHPMIS,RC-METHYLPHENIDATE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,float64,False,True
