variable,modulo,rol_provisional,n_unicos,pct_nan,uso_provisional,motivo_uso
INHFQFLG2,INHALANTS,Predictor candidato,2,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
INHEASWY2,INHALANTS,Predictor candidato,12,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
INHDYSYR2,INHALANTS,Predictor candidato,35,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
INHDYPMO2,INHALANTS,Predictor candidato,21,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
INHDYPWK2,INHALANTS,Predictor candidato,14,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
INHAL30N2,INHALANTS,Predictor candidato,26,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
INHAL30ES2,INHALANTS,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
METHAMEVR,METHAMPHETAMINE,Predictor candidato,4,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
METHAMAGE,METHAMPHETAMINE,Predictor candidato,65,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
METHAMYFU,METHAMPHETAMINE,Predictor candidato,10,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
METHAMMFU,METHAMPHETAMINE,Predictor candidato,19,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
METHAMREC,METHAMPHETAMINE,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
METHAMYFQ,METHAMPHETAMINE,Predictor candidato,82,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
METOTFG,METHAMPHETAMINE,Predictor candidato,2,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
MEFQFLG,METHAMPHETAMINE,Predictor candidato,2,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
METHEASWY,METHAMPHETAMINE,Predictor candidato,11,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
METHDYSYR,METHAMPHETAMINE,Predictor candidato,49,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
METHDYPMO,METHAMPHETAMINE,Predictor candidato,31,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
METHDYPWK,METHAMPHETAMINE,Predictor candidato,14,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
METHAM30N,METHAMPHETAMINE,Predictor candidato,34,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
METHAM30E,METHAMPHETAMINE,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
OXCNANYYR2,PAIN RELIEVERS SCREENER,Predictor candidato,11,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRANYLIF2,PAIN RELIEVERS SCREENER,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRANYREC2,PAIN RELIEVERS SCREENER,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
FENTANYYR2,PAIN RELIEVERS SCREENER,Predictor candidato,2,0.192,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRNMLIF,PAIN RELIEVERS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
OXCNNMYR,PAIN RELIEVERS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
OXCNNMAGE,PAIN RELIEVERS,Predictor candidato,44,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
