variable,tipo,n_presentes,n_unicos,n_nan,pct_nan,modulo,notas,rol_provisional,etiqueta_codebook,ref_fuente,n_ref,documentada_codebook,tipo_version
FUECSTMO18,int64,47299,2,0,0.0,RECODED DRUG USE,,Predictor candidato,RC-FIRST USED ECSTASY PRIOR TO AGE 18,IRECSTMOAGE,1,True,Recodificada
FUECSTMO21,int64,47299,2,0,0.0,RECODED DRUG USE,,Predictor candidato,RC-FIRST USED ECSTASY PRIOR TO AGE 21,IRECSTMOAGE,1,True,Recodificada
FUINHAL182,int64,47299,2,0,0.0,RECODED DRUG USE,"Questions for inhalant use were revised for the 2024 NSDUH. However, some inhalant measures
for
2024 were assumed to be comparable with those from 2021-2023. These inhalant variables
were
renamed in 2024 to caution data users about these questionna",Predictor candidato,RC-FIRST USED INHALANTS PRIOR TO AGE 18,IRINHALAGE2,1,True,Recodificada
FUINHAL212,int64,47299,2,0,0.0,RECODED DRUG USE,"Questions for inhalant use were revised for the 2024 NSDUH. However, some inhalant measures
for
2024 were assumed to be comparable with those from 2021-2023. These inhalant variables
were
renamed in 2024 to caution data users about these questionna",Predictor candidato,RC-FIRST USED INHALANTS PRIOR TO AGE 21,IRINHALAGE2,1,True,Recodificada
FUMETHAM18,int64,47299,2,0,0.0,RECODED DRUG USE,,Predictor candidato,RC-FIRST USED METHAMPHETAMINE PRIOR TO AGE 18,IRMETHAMAGE,1,True,Recodificada
FUMETHAM21,int64,47299,2,0,0.0,RECODED DRUG USE,,Predictor candidato,RC-FIRST USED METHAMPHETAMINE PRIOR TO AGE 21,IRMETHAMAGE,1,True,Recodificada
FUPNRNM18,int64,47299,2,0,0.0,RECODED DRUG USE,,Predictor candidato,RC-FIRST MISUSED PAIN RELIEVERS PRIOR TO AGE 18,IRPNRNMAGE,1,True,Recodificada
FUPNRNM21,int64,47299,2,0,0.0,RECODED DRUG USE,,Predictor candidato,RC-FIRST MISUSED PAIN RELIEVERS PRIOR TO AGE 21,IRPNRNMAGE,1,True,Recodificada
FUTRQNM18,int64,47299,2,0,0.0,RECODED DRUG USE,,Predictor candidato,RC-FIRST MISUSED TRANQUILIZERS PRIOR TO AGE 18,IRTRQNMAGE,1,True,Recodificada
FUTRQNM21,int64,47299,2,0,0.0,RECODED DRUG USE,,Predictor candidato,RC-FIRST MISUSED TRANQUILIZERS PRIOR TO AGE 21,IRTRQNMAGE,1,True,Recodificada
FUSTMNM18,int64,47299,2,0,0.0,RECODED DRUG USE,,Predictor candidato,RC-FIRST MISUSED STIMULANTS PRIOR TO AGE 18,IRSTMNMAGE,1,True,Recodificada
FUSTMNM21,int64,47299,2,0,0.0,RECODED DRUG USE,,Predictor candidato,RC-FIRST MISUSED STIMULANTS PRIOR TO AGE 21,IRSTMNMAGE,1,True,Recodificada
FUSEDNM21,int64,47299,2,0,0.0,RECODED DRUG USE,,Predictor candidato,RC-FIRST MISUSED SEDATIVES PRIOR TO AGE 21,IRSEDNMAGE,1,True,Recodificada
PNRMAINRSN,float64,47068,10,231,0.488,RECODED DRUG USE,,Predictor candidato,RC-MAIN REASON FOR MISUSING PAIN RELIEVERS LAST EPISODE,"PNRRSDGFX, PNRRSEMOT, PNRRSEXPT, PNRRSHIGH, PNRRSHOOK, PNRRSMAIN, PNRRSOTRS2, PNRRSPAIN, PNRRSRELX, PNRRSSLEP, PNRRSSOR",11,True,Recodificada
TRQMAINRSN,float64,47118,9,181,0.383,RECODED DRUG USE,,Predictor candidato,RC-MAIN REASON FOR MISUSING TRANQUILIZERS LAST EPISODE,"TRQRSDGFX, TRQRSEMOT, TRQRSEXPT, TRQRSHIGH, TRQRSHOOK, TRQRSMAIN, TRQRSOTRS2, TRQRSRELX, TRQRSSLEP, TRQRSSOR",10,True,Recodificada
STMMAINRSN,float64,47083,10,216,0.457,RECODED DRUG USE,,Predictor candidato,RC-MAIN REASON FOR MISUSING STIMULANTS LAST EPISODE,"STMRSALRT, STMRSCONC, STMRSDGFX, STMRSEXPT, STMRSHIGH, STMRSHOOK, STMRSMAIN, STMRSOTRS2, STMRSSOR, STMRSSTDY, STMRSWGHT",11,True,Recodificada
SEDMAINRSN,float64,47045,7,254,0.537,RECODED DRUG USE,,Predictor candidato,RC-MAIN REASON FOR MISUSING SEDATIVES LAST EPISODE,"SEDRSDGFX, SEDRSEMOT, SEDRSEXPT, SEDRSHIGH, SEDRSHOOK, SEDRSMAIN, SEDRSOTRS2, SEDRSRELX, SEDRSSLEP, SEDRSSOR",10,True,Recodificada
SRCPNRNM2,float64,1353,8,45946,97.139,RECODED DRUG USE,,Predictor candidato,RC-SOURCE OF PAIN RELIEVERS FOR LAST MISUSE,,0,True,Recodificada
SRCTRQNM2,float64,734,8,46565,98.448,RECODED DRUG USE,,Predictor candidato,RC-SOURCE OF TRANQUILIZERS FOR LAST MISUSE,,0,True,Recodificada
SRCSTMNM2,float64,831,8,46468,98.243,RECODED DRUG USE,,Predictor candidato,RC-SOURCE OF STIMULANTS FOR LAST MISUSE,,0,True,Recodificada
SRCSEDNM2,float64,143,8,47156,99.698,RECODED DRUG USE,,Predictor candidato,RC-SOURCE OF SEDATIVES FOR LAST MISUSE,,0,True,Recodificada
SRCFRPNRNM,float64,401,8,46898,99.152,RECODED DRUG USE,,Predictor candidato,RC-SOURCE OF FRIEND/RELATIVE PAIN RELIEVERS FOR LAST MISUSE,,0,True,Recodificada
SRCFRTRQNM,float64,297,8,47002,99.372,RECODED DRUG USE,,Predictor candidato,RC-SOURCE OF FRIEND/RELATIVE TRANQUILIZERS FOR LAST MISUSE,,0,True,Recodificada
SRCFRSTMNM,float64,437,6,46862,99.076,RECODED DRUG USE,,Predictor candidato,RC-SOURCE OF FRIEND/RELATIVE STIMULANTS FOR LAST MISUSE,,0,True,Recodificada
SRCFRSEDNM,float64,55,3,47244,99.884,RECODED DRUG USE,,Predictor candidato,RC-SOURCE OF FRIEND/RELATIVE SEDATIVES FOR LAST MISUSE,,0,True,Recodificada
SRCCLFRPNR,float64,401,3,46898,99.152,RECODED DRUG USE,,Predictor candidato,RC-COLLAPSED SOURCE OF FRND/REL PAIN RLVRS FOR LAST MISUSE,SRCFRPNRNM,1,True,Recodificada
SRCCLFRTRQ,float64,297,3,47002,99.372,RECODED DRUG USE,,Predictor candidato,RC-COLLAPSED SOURCE OF FRND/REL TRANQLZRS FOR LAST MISUSE,SRCFRTRQNM,1,True,Recodificada
SRCCLFRSTM,float64,437,3,46862,99.076,RECODED DRUG USE,,Predictor candidato,RC-COLLAPSED SOURCE OF FRND/REL STIMULANTS FOR LAST MISUSE,SRCFRSTMNM,1,True,Recodificada
SRCCLFRSED,float64,55,2,47244,99.884,RECODED DRUG USE,,Predictor candidato,RC-COLLAPSED SOURCE OF FRND/REL SEDATIVES FOR LAST MISUSE,SRCFRSEDNM,1,True,Recodificada
RXOPPRNMMON,int64,47299,2,0,0.0,RECODED DRUG USE,,Predictor candidato,RC-PRESCRIPTION OPIOIDS - PAST MONTH MISUSE,"IRRXOPNMYR, PNRNMMON",2,True,Recodificada
NOOPPRANYYR,int64,47299,2,0,0.0,RECODED DRUG USE,,Predictor candidato,RC-NONOPIOID PRESCRIPTION PNR - ANY PAST YEAR USE,"IRRXOPANYYR, PNRANYYR2",2,True,Recodificada
NOOPPRNMYR,int64,47299,2,0,0.0,RECODED DRUG USE,,Predictor candidato,RC-NONOPIOID PRESCRIPTION PNR - PAST YEAR MISUSE,"IRRXOPNMYR, PNRNMYR",2,True,Recodificada
COLDMEDS,int64,47299,5,0,0.0,SPECIAL DRUGS,,Predictor candidato,TAKEN A NONPRESCRIPTION COUGH MED TO GET HIGH,SD01,1,True,Original u otra
COLDREC,int64,47299,7,0,0.0,SPECIAL DRUGS,,Predictor candidato,TIME SINCE LAST USED COUGH/COLD MED,SD02,1,True,Original u otra
COLDYR1,float64,47299,78,0,0.0,SPECIAL DRUGS,,Predictor candidato,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SD02SC1,1,True,Original u otra
COLDYR2,float64,47299,50,0,0.0,SPECIAL DRUGS,,Predictor candidato,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 2,SD02SC2,1,True,Original u otra
COLDYR3,float64,47299,26,0,0.0,SPECIAL DRUGS,,Predictor candidato,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 3,SD02SC3,1,True,Original u otra
COLDYR4,int64,47299,14,0,0.0,SPECIAL DRUGS,,Predictor candidato,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 4,SD02SC4,1,True,Original u otra
COLDYR5,float64,47299,13,0,0.0,SPECIAL DRUGS,,Predictor candidato,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 5,SD02SC5,1,True,Original u otra
OTCFLAG,int64,47299,3,0,0.0,SPECIAL DRUGS,,Predictor candidato,INCONSISTENCY FLAG FOR REPORT OF OTC COLD MEDS,,0,True,Original u otra
GHB,int64,47299,5,0,0.0,SPECIAL DRUGS,,Predictor candidato,EVER USED GHB,SD03,1,True,Original u otra
GHBREC,int64,47299,7,0,0.0,SPECIAL DRUGS,,Predictor candidato,TIME SINCE LAST USED GHB,SD04,1,True,Original u otra
COCNEEDL,int64,47299,8,0,0.0,SPECIAL DRUGS,,Predictor candidato,EVER USED NEEDLE TO INJECT COCAINE,SD05,1,True,Original u otra
CONDLREC,int64,47299,8,0,0.0,SPECIAL DRUGS,,Predictor candidato,TIME SINCE LAST USED NEEDLE TO INJECT COCAINE,SD06,1,True,Original u otra
HERSMOKE,int64,47299,8,0,0.0,SPECIAL DRUGS,,Predictor candidato,EVER SMOKED HEROIN,"HEOTSMK, SD07",2,True,Original u otra
HRSMKREC,int64,47299,7,0,0.0,SPECIAL DRUGS,,Predictor candidato,TIME SINCE LAST SMOKED HEROIN,"SD08, SDHEUSE6",2,True,Original u otra
HERSNIFF,int64,47299,8,0,0.0,SPECIAL DRUGS,,Predictor candidato,EVER SNIFFED HEROIN,"HEOTSNF, SD09",2,True,Original u otra
HRSNFREC,int64,47299,10,0,0.0,SPECIAL DRUGS,,Predictor candidato,TIME SINCE LAST SNIFFED HEROIN,"SD10, SDHEUSE7",2,True,Original u otra
HERNEEDL,int64,47299,7,0,0.0,SPECIAL DRUGS,,Predictor candidato,EVER USED NEEDLE TO INJECT HEROIN,"HEOTNDL, SD11",2,True,Original u otra
HEOTSMK,int64,47299,8,0,0.0,SPECIAL DRUGS,,Predictor candidato,HOW USED HEROIN: SMOKED IT,SDHEUSE,1,True,Original u otra
HEOTSNF,int64,47299,8,0,0.0,SPECIAL DRUGS,,Predictor candidato,HOW USED HEROIN: SNIFFED IT,SDHEUSE,1,True,Original u otra
HEOTNDL,int64,47299,8,0,0.0,SPECIAL DRUGS,,Predictor candidato,HOW USED HEROIN: INJECTED IT WITH A NEEDLE,SDHEUSE,1,True,Original u otra
HEOTOTH,int64,47299,8,0,0.0,SPECIAL DRUGS,,Predictor candidato,HOW USED HEROIN: SOME OTHER WAY,SDHEUSE,1,True,Original u otra
HEOTSP,int64,47299,9,0,0.0,SPECIAL DRUGS,,Predictor candidato,HOW USED HEROIN: SPECIFY,SDHUSESC,1,True,Original u otra
HRNDLREC,int64,47299,9,0,0.0,SPECIAL DRUGS,,Predictor candidato,TIME SINCE LAST USED NEEDLE TO INJECT HEROIN,SD12,1,True,Original u otra
METHNEEDL,int64,47299,7,0,0.0,SPECIAL DRUGS,,Predictor candidato,EVER USED NEEDLE TO INJECT METHAMPHETAMINE,SD13,1,True,Original u otra
METHNDLRC,int64,47299,9,0,0.0,SPECIAL DRUGS,,Predictor candidato,TIME SINCE LAST USED NEEDLE TO INJECT METH,SD14,1,True,Original u otra
OTDGNEDL,int64,47299,5,0,0.0,SPECIAL DRUGS,,Predictor candidato,EVER USED NEEDLE TO INJECT ANY OTHER DRUG,SD15,1,True,Original u otra
OTDGNDLA,int64,47299,78,0,0.0,SPECIAL DRUGS,,Predictor candidato,OTHER DRUG INJECTED - SPECIFY 1,SD15SC1,1,True,Original u otra
OTDGNDLB,int64,47299,52,0,0.0,SPECIAL DRUGS,,Predictor candidato,OTHER DRUG INJECTED - SPECIFY 2,SD15SC2,1,True,Original u otra
OTDGNDLC,int64,47299,37,0,0.0,SPECIAL DRUGS,,Predictor candidato,OTHER DRUG INJECTED - SPECIFY 3,SD15SC3,1,True,Original u otra
OTDGNDLD,int64,47299,18,0,0.0,SPECIAL DRUGS,,Predictor candidato,OTHER DRUG INJECTED - SPECIFY 4,SD15SC4,1,True,Original u otra
OTDGNDLE,int64,47299,11,0,0.0,SPECIAL DRUGS,,Predictor candidato,OTHER DRUG INJECTED - SPECIFY 5,SD15SC5,1,True,Original u otra
OTDGNDLRC,int64,47299,9,0,0.0,SPECIAL DRUGS,,Predictor candidato,TIME SINCE LAST USED A NEEDLE TO INJECT OTHER DRUG,SD16,1,True,Original u otra
GNNDREUS,int64,47299,7,0,0.0,SPECIAL DRUGS,,Predictor candidato,LAST TIME REUSED NEEDLE USED BEFORE,SD17,1,True,Original u otra
GNNDLSH1,int64,47299,7,0,0.0,SPECIAL DRUGS,,Predictor candidato,LAST NEEDLE HAD BEEN USED BY SOMEONE ELSE,SD18,1,True,Original u otra
GNNDCLEN,int64,47299,7,0,0.0,SPECIAL DRUGS,,Predictor candidato,USED BLEACH TO CLEAN LAST NEEDLE BEFORE USE,SD19,1,True,Original u otra
GNNDLSH2,int64,47299,7,0,0.0,SPECIAL DRUGS,,Predictor candidato,SOMEONE ELSE USED LAST NEEDLE AFTER YOU,SD20,1,True,Original u otra
GNNDGET2,int64,47299,21,0,0.0,SPECIAL DRUGS,,Predictor candidato,HOW DID YOU GET THE NEEDLE LAST TIME,"SD21, SD21SC",2,True,Original u otra
IRNPCOLDREC,int64,47299,4,0,0.0,IMPUTED SPECIAL DRUGS,,Predictor candidato,NONPRESCRIPTION COUGH OR COLD MEDS RECENCY - IMPUTATION REV,"COLDMEDS, OTCFLAG",2,True,Imputada
IINPCOLDREC,int64,47299,3,0,0.0,IMPUTED SPECIAL DRUGS,,Predictor candidato,NONPRESCRIPTION COUGH OR COLD MEDS RECENCY - IMPUTATION IND,"COLDMEDS, OTCFLAG",2,True,Imputada
IRGHBREC,int64,47299,4,0,0.0,IMPUTED SPECIAL DRUGS,,Predictor candidato,GHB RECENCY - IMPUTATION REVISED,GHBREC,1,True,Imputada
IIGHBREC,int64,47299,3,0,0.0,IMPUTED SPECIAL DRUGS,,Predictor candidato,GHB RECENCY - IMPUTATION INDICATOR,GHBREC,1,True,Imputada
ANYNDLREC,int64,47299,7,0,0.0,RECODED SPECIAL DRUGS,,Predictor candidato,RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE,"CONDLREC, HRNDLREC, METHNDLRC, OTDGNDLRC",4,True,Recodificada
CHMNDLREC,int64,47299,8,0,0.0,RECODED SPECIAL DRUGS,,Predictor candidato,RC-MOST RECENT USE OF COC/HER/METH WITH A NEEDLE,"CONDLREC, HRNDLREC, METHNDLRC",3,True,Recodificada
HERNEDEVER,float64,47289,2,10,0.021,RECODED SPECIAL DRUGS,,Predictor candidato,RC-EVER USED A NEEDLE TO INJECT HEROIN,"HERFLAG, HERNEEDL",2,True,Recodificada
COCNEDEVER,float64,47255,2,44,0.093,RECODED SPECIAL DRUGS,,Predictor candidato,RC-EVER USED A NEEDLE TO INJECT COCAINE,"COCFLAG, COCNEEDL",2,True,Recodificada
MTHNEDEVER,float64,47279,2,20,0.042,RECODED SPECIAL DRUGS,,Predictor candidato,RC-EVER USED NEEDLE TO INJECT METHAMPHETAMINE,"METHAMFLAG, METHNEEDL",2,True,Recodificada
HERSMOEVER,float64,47288,2,11,0.023,RECODED SPECIAL DRUGS,,Predictor candidato,RC-EVER SMOKED HEROIN,"HERFLAG, HERSMOKE",2,True,Recodificada
HERSNIEVER,float64,47288,2,11,0.023,RECODED SPECIAL DRUGS,,Predictor candidato,RC-EVER SNIFFED HEROIN,"HERFLAG, HERSNIFF",2,True,Recodificada
NPCOLDFLAG,int64,47299,2,0,0.0,RECODED SPECIAL DRUGS,,Predictor candidato,RC-NONPRESCRIPTION COUGH OR COLD MEDS - EVER USED,IRNPCOLDREC,1,True,Recodificada
NPCOLDYR,int64,47299,2,0,0.0,RECODED SPECIAL DRUGS,,Predictor candidato,RC-NONPRESCRIPTION COUGH OR COLD MEDS - PAST YEAR USE,IRNPCOLDREC,1,True,Recodificada
NPCOLDMON,int64,47299,2,0,0.0,RECODED SPECIAL DRUGS,,Predictor candidato,RC-NONPRESCRIPTION COUGH OR COLD MEDS - PAST MONTH USE,IRNPCOLDREC,1,True,Recodificada
GHBFLAG,int64,47299,2,0,0.0,RECODED SPECIAL DRUGS,,Predictor candidato,RC-GHB - EVER USED,IRGHBREC,1,True,Recodificada
GHBYR,int64,47299,2,0,0.0,RECODED SPECIAL DRUGS,,Predictor candidato,RC-GHB - PAST YEAR USE,IRGHBREC,1,True,Recodificada
GHBMON,int64,47299,2,0,0.0,RECODED SPECIAL DRUGS,,Predictor candidato,RC-GHB - PAST MONTH USE,IRGHBREC,1,True,Recodificada
UDALTIMEUSE,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,SPENT GREAT DEAL OF TIME USING/FEEL EFF OF ALCOHOL PST 12MOS,DPALFEEL,1,True,Original u otra
UDALTIMEGET,int64,47299,9,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,SPENT GREAT DEAL TIME TRY TO GET/GETTING ALC IN PST 12 MOS,DPALGET,1,True,Original u otra
UDALLRGAMTS,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,DRANK ALC LARGER AMTS OR LONGER TIME THAN MEANT TO PST 12MOS,DPALLRGR,1,True,Original u otra
UDALWANTBAD,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,WANTED TO USE ALCOHOL SO BADLY IN PAST 12 MOS,DPALBDLY,1,True,Original u otra
UDALSTRURGE,int64,47299,9,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,STRONG URGE TO DRINK ALCOHOL IN PST 12 MOS,DPALURGE,1,True,Original u otra
UDALNEEDMOR,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,NEEDED A LOT MORE ALCOHOL TO GET FEELING YOU WANT,DPALMORE,1,True,Original u otra
UDALLESSEFF,int64,47299,9,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,SAME AMT ALCOHOL HAS LESS EFFECT THAN IT USED TO,DPALLESS,1,True,Original u otra
UDALTRYSTOP,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,TRY TO CUT DOWN/STOP ALCOHOL USE IN PAST 12 MOS,DPALSTOP,1,True,Original u otra
UDALNOTSTOP,int64,47299,9,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,UNABLE TO CUT/STOP ALC USE MORE THAN ONE TIME PAST 12 MOS,DPALCANT,1,True,Original u otra
UDALWSHSTOP,int64,47299,9,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,OFTEN WISH CUT DOWN OR STOP ALCOHOL USE PAST 12 MOS,DPALWISH,1,True,Original u otra
UDALHLTHPRB,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,ANY LONG-LASTING PHYS PRBS CAUSED/WORSND BY ALC PST 12 MOS,DPALPHYS,1,True,Original u otra
UDALHLTHCTD,int64,47299,9,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,CONTD TO USE ALCOHOL DESPITE ALCOHOL CAUSE/WORSEN PHYS PRBS,DPALPCNT,1,True,Original u otra
UDALMNTLPRB,int64,47299,9,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,ANY EMOT/MNTL HLTH PRBS CAUSED/WORSND BY ALCOHOL PAST 12 MOS,DPALMNTL,1,True,Original u otra
UDALMNTLCTD,int64,47299,9,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,CONTD ALCOHOL USE DESPITE ALC CSE/WRSN EMOT/MNTL HLTH PRBS,DPALMCNT,1,True,Original u otra
UDALBLCKOUT,int64,47299,9,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,REPEATED BLACKOUTS WHILE OR AFTER DRINKING ALC PAST 12 MOS,DPALBLCK,1,True,Original u otra
UDALBLCKCTD,int64,47299,9,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,CONTINUE DRINKING ALCOHOL EVEN AFTER BLACKOUTS,DPALBCNT,1,True,Original u otra
UDALSTOPACT,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,LESS ACTIVITIES B/C OF ALCOHOL USE PAST 12 MOS,DPALACTV,1,True,Original u otra
UDALWORKPRB,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,ALCOHOL CAUSE SERIOUS PRBS AT HOME/WORK/SCH PST 12 MOS,DPALSERI,1,True,Original u otra
UDALFMLYPRB,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,ALCOHOL CAUSE ARGUMENTS/PROBS W/FAMILY/FRIENDS PST 12 MOS,DPALARGU,1,True,Original u otra
UDALFMLYCTD,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,CONTD ALCOHOL USE DESPITE ALC CAUSE ARGUMENTS W/FAM/FRNDS,DPALACNT,1,True,Original u otra
UDALGETHURT,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,ALCOHOL USE INCREASED CHANCE GETTING HURT PST 12 MOS,DPALHURT,1,True,Original u otra
UDALWDSWEAT,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,SWEATING/RAPID HEARTBEAT - ALC WITHDRAWAL SYMPTOM PST 12 MOS,DPALWD_1,1,True,Original u otra
UDALWDTRMBL,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,HANDS TREMBLE - ALC WITHDRAWAL SYMPTOM PST 12 MOS,DPALWD_2,1,True,Original u otra
UDALWDSLEEP,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,TROUBLE SLEEPING - ALC WITHDRAWAL SYMPTOM PST 12 MOS,DPALWD_3,1,True,Original u otra
UDALWDVOMIT,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,VOMITING/UPSET STOMACH - ALC WITHDRAWAL SYMPTOM PST 12 MOS,DPALWD_4,1,True,Original u otra
UDALWDHALUC,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,SEE/HEAR/FEEL THINGS - ALC WITHDRAWAL SYMPTOM PST 12 MOS,DPALWD_5,1,True,Original u otra
UDALWDSITST,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,COULD NOT SIT STILL - ALC WITHDRAWAL SYMPTOM PST 12 MOS,DPALWD_6,1,True,Original u otra
UDALWDFLANX,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,FEELING ANXIOUS - ALC WITHDRAWAL SYMPTOM PST 12 MOS,DPALWD_7,1,True,Original u otra
UDALAVOIDWD,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,USE ALC/DRG TO GET OVER/AVOID ALC WITHDRAWAL IN PST 12 MOS,DPALOVER,1,True,Original u otra
UDALAVWALCO,int64,47299,9,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,USED ALCOHOL TO GET OVER/AVOID ALC WITHDRAWAL IN PST 12 MOS,DPALUSE_1,1,True,Original u otra
UDALAVWSVTR,int64,47299,10,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,USED SED/TRQ/SLP PILLS/DWNRS TO AVOID ALC WDRWAL PST 12 MOS,DPALUSE_2,1,True,Original u otra
UDALAVWOTHR,int64,47299,9,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,USED SOMETHING ELSE TO GET OVR/AVD ALC WITHDRAWAL PST 12 MOS,DPALUSE_3,1,True,Original u otra
UDMJTIMEUSE,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,SPENT GREAT DEAL OF TIME USING/FEEL EFF OF MJ PST 12 MOS,DPMJFEEL,1,True,Original u otra
UDMJTIMEGET,int64,47299,9,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,SPENT GREAT DEAL TIME TRY TO GET/GETTING MJ IN PST 12 MOS,DPMJGET,1,True,Original u otra
UDMJLRGAMTS,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,USED MJ LARGER AMTS OR LONGER TIME THAN MEANT TO PST 12 MOS,DPMJLRGR,1,True,Original u otra
UDMJWANTBAD,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,WANTED TO USE MARIJUANA SO BADLY IN PAST 12 MOS,DPMJBDLY,1,True,Original u otra
UDMJSTRURGE,int64,47299,9,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,STRONG URGE TO USE MARIJUANA IN PAST 12 MOS,DPMJURGE,1,True,Original u otra
UDMJNEEDMOR,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,NEEDED A LOT MORE MARIJUANA TO GET FEELING YOU WANT,DPMJMORE,1,True,Original u otra
UDMJLESSEFF,int64,47299,9,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,SAME AMT MARIJUANA HAS LESS EFFECT THAN IT USED TO,DPMJLESS,1,True,Original u otra
UDMJTRYSTOP,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,TRY TO CUT DOWN/STOP MARIJUANA USE IN PAST 12 MOS,DPMJSTOP,1,True,Original u otra
UDMJNOTSTOP,int64,47299,9,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,UNABLE TO CUT/STOP MJ USE MORE THAN ONE TIME PAST 12 MOS,DPMJCANT,1,True,Original u otra
UDMJWSHSTOP,int64,47299,9,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,OFTEN WISH CUT DOWN OR STOP MJ USE PAST 12 MOS,DPMJWISH,1,True,Original u otra
UDMJHLTHPRB,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,ANY LONG-LASTING PHYS PRBS CAUSED/WORSND BY MJ PST 12 MOS,DPMJPHYS,1,True,Original u otra
UDMJHLTHCTD,int64,47299,9,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,CONTD TO USE MARIJUANA DESPITE MJ CAUSE/WORSEN PHYS PRBS,DPMJPCNT,1,True,Original u otra
UDMJMNTLPRB,int64,47299,9,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,ANY EMOT/MNTL HLTH PRBS CAUSED/WORSND BY MJ PAST 12 MOS,DPMJMNTL,1,True,Original u otra
UDMJMNTLCTD,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,CONTD MARIJUANA USE DESPITE MJ CSE/WRSN EMOT/MNTL HLTH PRBS,DPMJMCNT,1,True,Original u otra
UDMJSTOPACT,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,LESS ACTIVITIES B/C OF MARIJUANA USE PAST 12 MOS,DPMJACTV,1,True,Original u otra
UDMJWORKPRB,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,MARIJUANA CAUSE SERIOUS PRBS AT HOME/WORK/SCH PST 12 MOS,DPMJSERI,1,True,Original u otra
UDMJFMLYPRB,int64,47299,8,0,0.0,SUBSTANCE USE DISORDER,,Predictor candidato,MARIJUANA CAUSE ARGUMENTS/PROBS W/FAMILY/FRIENDS PST 12 MOS,DPMJARGU,1,True,Original u otra
