variable,tipo,n_presentes,n_unicos,n_nan,pct_nan,modulo,notas,rol_provisional,etiqueta_codebook,ref_fuente,n_ref,documentada_codebook,tipo_version
IRWRKSTAT,int64,47299,4,0,0.0,IMPUTED EMPLOYMENT,,Predictor candidato,EMPLOYMENT STATUS - IMPUTATION REVISED,WRKSTATWK2,1,True,Imputada
IIWRKSTAT,int64,47299,2,0,0.0,IMPUTED EMPLOYMENT,,Predictor candidato,EMPLOYMENT STATUS - IMPUTATION INDICATOR,WRKSTATWK2,1,True,Imputada
II2WRKSTAT,int64,47299,3,0,0.0,IMPUTED EMPLOYMENT,,Predictor candidato,EMPLOYMENT STATUS - DETAILED IMPUTATION INDICATOR,WRKSTATWK2,1,True,Imputada
IRWRKSTAT18,int64,47299,4,0,0.0,IMPUTED EMPLOYMENT,,Predictor candidato,EMPLOYMENT STATUS 18+ - IMPUTATION REVISED,"AGE3, IRWRKSTAT",2,True,Imputada
IIWRKSTAT18,int64,47299,2,0,0.0,IMPUTED EMPLOYMENT,,Predictor candidato,EMPLOYMENT STATUS 18+ - IMPUTATION INDICATOR,"AGE3, IIWRKSTAT",2,True,Imputada
II2WRKST18,int64,47299,3,0,0.0,IMPUTED EMPLOYMENT,,Predictor candidato,EMPLOYMENT STATUS 18+ - DETAILED IMPUTATION INDICATOR,"AGE3, II2WRKSTAT",2,True,Imputada
EDFAM18,int64,47299,3,0,0.0,HOUSEHOLD COMPOSITION (ROSTER),,Predictor candidato,RC-EDITED INDICATOR: FAMILY IN HH 18 OR OLDER,,0,True,Original u otra
NRCH17_2,float64,45600,4,1699,3.592,HOUSEHOLD COMPOSITION (ROSTER),,Predictor candidato,RECODED # R's CHILDREN < 18 IN HOUSEHOLD,,0,True,Original u otra
IRHHSIZ2,int64,47299,6,0,0.0,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),,Predictor candidato,RECODE - IMPUTATION-REVISED # PERSONS IN HH,,0,True,Imputada
IIHHSIZ2,int64,47299,2,0,0.0,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),,Predictor candidato,IRHHSIZ2-IMPUTATION INDICATOR,,0,True,Imputada
IRKI17_2,int64,47299,4,0,0.0,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),,Predictor candidato,RECODE - IMPUTATION-REVISED # KIDS AGED<18 IN HH,,0,True,Imputada
IIKI17_2,int64,47299,2,0,0.0,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),,Predictor candidato,IRKI17_2-IMPUTATION INDICATOR,,0,True,Imputada
IRHH65_2,int64,47299,3,0,0.0,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),,Predictor candidato,REC - IMPUTATION-REVISED # OF PER IN HH AGED>=65,,0,True,Imputada
IIHH65_2,int64,47299,2,0,0.0,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),,Predictor candidato,IRHH65_2-IMPUTATION INDICATOR,,0,True,Imputada
PRXRETRY,int64,47299,5,0,0.0,PROXY INFORMATION,,Predictor candidato,"SELECTED PROXY UNAVAILABLE, OTHER PROXY AVAILABLE?",QP03A,1,True,Original u otra
PRXYDATA,int64,47299,6,0,0.0,PROXY INFORMATION,,Predictor candidato,IS PROXY ANSWERING INSURANCE/INCOME QS,HASJOIN,1,True,Original u otra
MEDICARE,int64,47299,5,0,0.0,HEALTH INSURANCE,,Predictor candidato,COVERED BY MEDICARE,"QHI01, QHI01V",2,True,Original u otra
CAIDCHIP,int64,47299,6,0,0.0,HEALTH INSURANCE,,Predictor candidato,COVERED BY MEDICAID/CHIP,"QHI02, QHI02A, QHI02V",3,True,Original u otra
