variable_1,variable_2,n_comunes,correlacion_spearman,correlacion_absoluta
NRCH17_2,WTPOUND2,41662,0.052,0.052
COCYLU,NMERTMT2,806,0.052,0.052
ECSTMOAGL,MRJYLU,664,0.051,0.051
CIGAGLST,HLCNOTMO,846,0.051,0.051
CIGAGLST,IRWELMOS,569,0.051,0.051
BMI2,HTINCHE2,45049,-0.051,0.051
HTINCHE2,NRCH17_2,41691,-0.05,0.05
BMI2,HALLAGLST,7839,0.05,0.05
INHLAGLST,NRCH17_2,3986,-0.049,0.049
CIGDLLST,HALLYRLST,511,0.049,0.049
EDUSCKCOM,NRCH17_2,4027,-0.049,0.049
ALCNUMDKPM,CIGAVGM,3474,0.048,0.048
ALCNUMDKPM,CGRAGLST,7593,0.048,0.048
KIDNYDSAG,WTPOUND2,802,0.048,0.048
CIGAVGM,WTPOUND2,6209,0.047,0.047
CIGAVGM,HIGHBPAGE,605,0.046,0.046
ALCAGLST,HTINCHE2,14263,-0.046,0.046
HALLAGLST,MRJYLU,1398,0.046,0.046
HALLYRLST,NRCH17_2,1891,-0.046,0.046
BMI2,INHLAGLST,4226,-0.046,0.046
MRJAGLST,NRCH17_2,13646,0.046,0.046
COCYLU,NRCH17_2,767,-0.046,0.046
BMI2,WRKNJBWKS,4074,-0.046,0.046
HLCNOTMO,HTINCHE2,2441,0.045,0.045
EDUSCKMON,WRKDHRSWK2,546,0.045,0.045
DIABETEAG,WTPOUND2,3582,-0.045,0.045
CIGYLU,MRJAGLST,1080,-0.045,0.045
CIGAVGM,NMVSOPT2,6063,0.045,0.045
CIGDLLST,MRJYLU,961,0.045,0.045
WRKDHRSWK2,WRKSICKMO,7154,-0.044,0.044
ALCNUMDKPM,HALLAGLST,5115,0.044,0.044
CIGDLYLU,NMERTMT2,1142,0.044,0.044
BMI2,LSDAGLST,4481,0.044,0.044
HTINCHE2,KIDNYDSAG,804,0.044,0.044
BMI2,ECSTMOAGL,3820,0.043,0.043
EDUSCKMON,NRCH17_2,1147,-0.043,0.043
EDUSKPMON,WTPOUND2,1002,-0.042,0.042
HALLAGLST,WRKNJBWKS,877,0.042,0.042
ALCNUMDKPM,BMI2,21849,-0.042,0.042
CIGAVGM,HALLYRLST,582,-0.041,0.041
BMI2,COCAGLST,5642,0.041,0.041
HALLYRLST,HTINCHE2,1968,0.041,0.041
ALCYLU,LSDAGLST,785,-0.041,0.041
HTINCHE2,METHAGLST,1985,0.04,0.04
ECSTMOAGL,NRCH17_2,3520,-0.04,0.04
ALCNUMDKPM,METHAGLST,948,0.04,0.04
ASTHMAAGE,WRKSICKMO,1169,0.04,0.04
HLCNOTMO,WRKDHRSWK2,1440,0.039,0.039
METHAGLST,NMERTMT2,1995,0.039,0.039
EDUSKPCOM,WTPOUND2,4088,-0.039,0.039
ALCNUMDKPM,NRCH17_2,20496,-0.038,0.038
KIDNYDSAG,NMERTMT2,812,-0.038,0.038
EDUSCKCOM,MRJYLU,563,-0.038,0.038
IRWELMOS,NMVSOPT2,1721,0.038,0.038
ASTHMAAGE,WRKNJBWKS,554,0.038,0.038
EDUSKPMON,NRCH17_2,994,-0.037,0.037
CGRAGLST,WRKNJBWKS,973,-0.037,0.037
HRTCONDAG,WRKDHRSWK2,1282,-0.037,0.037
ALCYLU,COCAGLST,940,-0.037,0.037
ALCNUMDKPM,WRKLASTYR2,5389,0.037,0.037
ALCNUMDKPM,CIGDLYLU,565,0.037,0.037
ALCNUMDKPM,ECSTMOAGL,2516,0.037,0.037
CIGDLYLU,NMVSOPT2,1094,-0.036,0.036
BMI2,KIDNYDSAG,800,0.036,0.036
HALLYRLST,WRKDHRSWK2,1283,0.036,0.036
HLCNOTMO,NRCH17_2,2325,0.036,0.036
HALLAGLST,NMNGTHS2,638,0.036,0.036
NRCH17_2,WRKNJBWKS,3935,-0.036,0.036
NMERTMT2,WRKDHRSWK2,25490,-0.036,0.036
EDUSKPCOM,NMVSOPT2,4043,0.035,0.035
HTINCHE2,WRKNJBWKS,4105,-0.035,0.035
CRKAGLST,NMERTMT2,1311,0.035,0.035
COCAGLST,HALLYRLST,788,-0.034,0.034
NMERTMT2,WTPOUND2,45033,0.034,0.034
ALCYLU,DIABETEAG,753,0.034,0.034
CIGDLYLU,HTINCHE2,1130,-0.033,0.033
BMI2,EDUSKPCOM,4066,-0.033,0.033
HRTCONDAG,WTPOUND2,3474,0.033,0.033
ALCYLU,WRKSICKMO,1666,-0.033,0.033
ALCNUMDKPM,WTPOUND2,21919,0.033,0.033
ALCNUMDKPM,ASTHMAAGE,2638,-0.032,0.032
HLCNOTMO,WTPOUND2,2449,0.032,0.032
IRWELMOS,MRJAGLST,570,0.032,0.032
METHAGLST,WTPOUND2,1989,0.032,0.032
METHAGLST,NMVSOPT2,1896,-0.032,0.032
CIGARYLU,NMVSOPT2,2188,-0.032,0.032
COCAGLST,WRKSICKMO,1139,0.032,0.032
CIGYLU,LSDAGLST,522,0.032,0.032
CIGAVGM,NMERTMT2,6256,0.032,0.032
CIGDLYLU,WRKDHRSWK2,548,0.032,0.032
HRTCONDAG,NMNGTHS2,668,0.032,0.032
LSDAGLST,NMVSOPT2,4332,-0.031,0.031
EDUSKPCOM,WRKNJBWKS,663,-0.031,0.031
SMKYRLAST,WTPOUND2,734,-0.031,0.031
CIGAGLST,WRKNJBWKS,1294,-0.031,0.031
HALLAGLST,HLCNOTMO,587,-0.031,0.031
HALLAGLST,NRCH17_2,7373,0.031,0.031
COPDAGE,NMERTMT2,1106,-0.031,0.031
CIGARYLU,WRKDHRSWK2,1523,0.03,0.03
ALCYLU,EDUSCKCOM,839,-0.03,0.03
DIABETEAG,WRKDHRSWK2,1405,0.03,0.03
HALLYRLST,NMERTMT2,1968,0.03,0.03
ALCYLU,HALLAGLST,1405,-0.03,0.03
HALLYRLST,LSDAGLST,918,0.03,0.03
HIGHBPAGE,NMNGTHS2,653,-0.03,0.03
ECSTMOAGL,NMVSOPT2,3707,0.03,0.03
MRJYLU,WRKSKIPMO,587,0.03,0.03
NMVSOPT2,WRKDHRSWK2,24882,-0.03,0.03
BMI2,HALLYRLST,1958,-0.029,0.029
BMI2,HERAGLST,915,-0.029,0.029
MRJAGLST,WRKNJBWKS,1313,0.029,0.029
CIGAVGM,WRKNJBWKS,672,0.029,0.029
CIGYLU,NMERTMT2,2552,-0.029,0.029
COCAGLST,NMVSOPT2,5454,0.029,0.029
HERAGLST,NMVSOPT2,881,0.029,0.029
ALCNUMDKPM,LSDAGLST,2856,0.029,0.029
COCAGLST,WRKSKIPMO,599,0.028,0.028
ALCYLU,INHLAGLST,768,0.028,0.028
ALCYLU,HIGHBPAGE,935,-0.028,0.028
NMNGTHS2,WRKLASTYR2,1526,-0.028,0.028
CIGARYLU,HALLAGLST,786,0.028,0.028
CIGARYLU,NMERTMT2,2248,0.028,0.028
EDUSCKCOM,HTINCHE2,4127,-0.027,0.027
ASTHMAAGE,LSDAGLST,597,0.027,0.027
NMERTMT2,WRKNJBWKS,4125,-0.027,0.027
EDUSKPCOM,MRJYLU,562,0.026,0.026
CIGAGLST,CIGYLU,2591,0.026,0.026
ALCNUMDKPM,NMNGTHS2,1346,0.026,0.026
BMI2,SMKYRLAST,732,-0.026,0.026
COCAGLST,WRKNJBWKS,539,0.026,0.026
ALCNUMDKPM,CIGARYLU,1663,-0.026,0.026
HALLAGLST,NMERTMT2,7892,-0.026,0.026
BMI2,COCYLU,797,0.026,0.026
LSDAGLST,NMERTMT2,4514,-0.025,0.025
CIGAVGM,HTINCHE2,6210,-0.025,0.025
ALCNUMDKPM,WRKSICKMO,4369,0.025,0.025
NMVSOPT2,WTPOUND2,43533,0.025,0.025
ALCAGLST,MRJYLU,1468,0.025,0.025
HRTCONDAG,HTINCHE2,3469,0.024,0.024
BMI2,HRTCONDAG,3453,0.024,0.024
ASTHMAAGE,NMERTMT2,5280,0.024,0.024
