variable,etiqueta_codebook,modulo,tipo_version,pct_valores_informativos,rol_final_eda
IRWELMOS,NO OF MONTHS ON WELFARE - IMPUTATION REVISED,IMPUTED INCOME,Imputada,4.028,Predictor principal
IRPMNICDEP,NICOTINE DEPENDENCE IN PAST MONTH - IMPUTATION REVISED,IMPUTED NICOTINE DEPENDENCE,Imputada,100.0,Predictor principal
IINPCOLDREC,NONPRESCRIPTION COUGH OR COLD MEDS RECENCY - IMPUTATION IND,IMPUTED SPECIAL DRUGS,Imputada,100.0,Predictor principal
IRGHBREC,GHB RECENCY - IMPUTATION REVISED,IMPUTED SPECIAL DRUGS,Imputada,100.0,Predictor principal
IRNPCOLDREC,NONPRESCRIPTION COUGH OR COLD MEDS RECENCY - IMPUTATION REV,IMPUTED SPECIAL DRUGS,Imputada,100.0,Predictor principal
IRPYSEV5ALC,ALCOHOL USE DISORDER SEVERITY IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,100.0,Predictor principal
IRPYSEV5COC,COCAINE USE DISORDER SEVERITY IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,100.0,Predictor principal
IRPYSEV5HAL,HALLUCINOGEN USE DISORDER SEVERITY IN THE PAST YR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,100.0,Predictor principal
IRPYSEV5HER,HEROIN USE DISORDER SEVERITY IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,100.0,Predictor principal
IRPYSEV5INH,INHALANT USE DISORDER SEVERITY IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,100.0,Predictor principal
IRPYSEV5MRJ,MARIJUANA USE DISORDER SEVERITY IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,100.0,Predictor principal
IRPYSEV5MTH,METHAMPHETAMINE USE DISORDER SEVERITY IN PAST YR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,100.0,Predictor principal
IRPYUD5ALC,ALCOHOL USE DISORDER IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,100.0,Predictor principal
IRPYUD5COC,COCAINE USE DISORDER IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,100.0,Predictor principal
IRPYUD5HAL,HALLUCINOGEN USE DISORDER IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,100.0,Predictor principal
IRPYUD5HER,HEROIN USE DISORDER IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,100.0,Predictor principal
IRPYUD5INH,INHALANT USE DISORDER IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,100.0,Predictor principal
IRPYUD5MRJ,MARIJUANA USE DISORDER IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,100.0,Predictor principal
IRPYUD5MTH,METHAMPHETAMINE USE DISORDER IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,100.0,Predictor principal
IRSEVPNRMIS,"PAIN RELIEVER USE DISORDER SEVERITY, PY MISUSERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,0.791,Predictor principal
IRSEVPNRUNM2,"PAIN RELIEVER USE DIS SEV, PY USERS BUT NOT MISUSERS-IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,0.867,Predictor principal
IRSEVSEDMIS,"SEDATIVE USE DISORDER SEVERITY, PY MISUSERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,0.101,Predictor principal
IRSEVSEDUNM,"SEDATIVE USE DIS SEV, PY USERS BUT NOT MISUSERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,0.237,Predictor principal
IRSEVSTMMIS,"STIMULANT USE DISORDER SEVERITY, PY MISUSERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,0.376,Predictor principal
IRSEVSTMUNM,"STIMULANT USE DIS SEV, PY USERS BUT NOT MISUSERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,0.569,Predictor principal
IRSEVTRQMIS,"TRANQUILIZER USE DISORDER SEVERITY, PY MISUSERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,0.332,Predictor principal
IRSEVTRQUNM,"TRANQUILIZER USE DIS SEV, PY USERS BUT NOT MISUSERS-IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,0.37,Predictor principal
IRUD5PNRMIS,"PAIN RELIEVER USE DISORDER, PY MISUERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,100.0,Predictor principal
IRUD5PNRUNM2,"PAIN RELIEVER USE DISORD, PY USERS BUT NOT MISUSERS-IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,100.0,Predictor principal
IRUD5SEDMIS,"SEDATIVE USE DISORDER, PY MISUSERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,100.0,Predictor principal
IRUD5SEDUNM,"SEDATIVE USE DISORDER, PY USERS BUT NOT MISUSERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,100.0,Predictor principal
IRUD5STMMIS,"STIMULANT USE DISORDER, PY MISUSERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,100.0,Predictor principal
IRUD5STMUNM,"STIMULANT USE DISORDER, PY USERS BUT NOT MISUSERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,100.0,Predictor principal
IRUD5TRQMIS,"TRANQUILIZER USE DISORDER, PY MISUSERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,100.0,Predictor principal
IRUD5TRQUNM,"TRANQUILIZER USE DISORDER, PY USERS BUT NOT MISUSERS-IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,100.0,Predictor principal
CELLNOTCL,NOT A CELL PHONE,INCOME,Original u otra,95.975,Predictor principal
CELLWRKNG,WORKING CELL PHONE,INCOME,Original u otra,95.943,Predictor principal
