variable,etiqueta_codebook,modulo,tipo_version,codigo_doc,etiqueta_codigo,tipo_codigo_doc,codigo_especial,frecuencia_codebook,pct_codebook,frecuencia_adultos,pct_adultos,presente_adultos
ADOTHDOC,OTH DR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,3,Response entered LOGICALLY ASSIGNED,Asignación lógica,True,2,0.00,2,0.004,True
ADOTHDOC,OTH DR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,6,Response not entered,Categoría analítica,False,4115,7.02,4115,8.7,True
ADOTHDOC,OTH DR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,6,0.01,6,0.013,True
ADOTHDOC,OTH DR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,17,0.03,17,0.036,True
ADOTHDOC,OTH DR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1582,2.70,1582,3.345,True
ADOTHDOC,OTH DR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,52541,89.61,41207,87.12,True
ADOTHHLP,OTH HELP PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,1,Response entered,Categoría analítica,False,174,0.30,174,0.368,True
ADOTHHLP,OTH HELP PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,6,Response not entered,Categoría analítica,False,4313,7.36,4313,9.119,True
ADOTHHLP,OTH HELP PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,6,0.01,6,0.013,True
ADOTHHLP,OTH HELP PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,17,0.03,17,0.036,True
ADOTHHLP,OTH HELP PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1582,2.70,1582,3.345,True
ADOTHHLP,OTH HELP PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,52541,89.61,41207,87.12,True
ADOTHMHP,MENTAL PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,1,Response entered,Categoría analítica,False,565,0.96,565,1.195,True
ADOTHMHP,MENTAL PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,3,Response entered LOGICALLY ASSIGNED,Asignación lógica,True,1,0.00,1,0.002,True
ADOTHMHP,MENTAL PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,6,Response not entered,Categoría analítica,False,3921,6.69,3921,8.29,True
ADOTHMHP,MENTAL PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,6,0.01,6,0.013,True
ADOTHMHP,MENTAL PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,17,0.03,17,0.036,True
ADOTHMHP,MENTAL PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1582,2.70,1582,3.345,True
ADOTHMHP,MENTAL PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,52541,89.61,41207,87.12,True
ADPBAGE,AGE WHEN FIRST 2+ WK PERIOD OF TIME STARTED,ADULT DEPRESSION,Original u otra,985,BAD DATA Logically assigned,Asignación lógica,True,3,0.01,3,0.006,True
ADPBAGE,AGE WHEN FIRST 2+ WK PERIOD OF TIME STARTED,ADULT DEPRESSION,Original u otra,994,DON'T KNOW,No respuesta o ausencia,True,237,0.40,237,0.501,True
ADPBAGE,AGE WHEN FIRST 2+ WK PERIOD OF TIME STARTED,ADULT DEPRESSION,Original u otra,997,REFUSED,No respuesta o ausencia,True,16,0.03,16,0.034,True
ADPBAGE,AGE WHEN FIRST 2+ WK PERIOD OF TIME STARTED,ADULT DEPRESSION,Original u otra,998,BLANK (NO ANSWER),No respuesta o ausencia,True,1571,2.68,1571,3.321,True
ADPBAGE,AGE WHEN FIRST 2+ WK PERIOD OF TIME STARTED,ADULT DEPRESSION,Original u otra,999,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,47746,81.43,36412,76.983,True
ADPBAGE,AGE WHEN FIRST 2+ WK PERIOD OF TIME STARTED,ADULT DEPRESSION,Original u otra,RANGE,1 - 96,Rango válido,False,9060,15.45,9060,19.155,True
ADPBDLYA,WHEN PRBLMS WORST UNABLE TO CARRY OUT DLY ACTVTS,ADULT DEPRESSION,Original u otra,1,Often,Categoría analítica,False,2873,4.90,2873,6.074,True
ADPBDLYA,WHEN PRBLMS WORST UNABLE TO CARRY OUT DLY ACTVTS,ADULT DEPRESSION,Original u otra,2,Sometimes,Categoría analítica,False,4164,7.10,4164,8.804,True
ADPBDLYA,WHEN PRBLMS WORST UNABLE TO CARRY OUT DLY ACTVTS,ADULT DEPRESSION,Original u otra,3,Rarely,Categoría analítica,False,1562,2.66,1562,3.302,True
ADPBDLYA,WHEN PRBLMS WORST UNABLE TO CARRY OUT DLY ACTVTS,ADULT DEPRESSION,Original u otra,4,Never,Categoría analítica,False,497,0.85,497,1.051,True
ADPBDLYA,WHEN PRBLMS WORST UNABLE TO CARRY OUT DLY ACTVTS,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,10,0.02,10,0.021,True
ADPBDLYA,WHEN PRBLMS WORST UNABLE TO CARRY OUT DLY ACTVTS,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,10,0.02,10,0.021,True
ADPBDLYA,WHEN PRBLMS WORST UNABLE TO CARRY OUT DLY ACTVTS,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1555,2.65,1555,3.288,True
ADPBDLYA,WHEN PRBLMS WORST UNABLE TO CARRY OUT DLY ACTVTS,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,47962,81.80,36628,77.439,True
ADPBINTF,WHEN PRBLMS WORST INTERFERE WITH WORK/ PRSNL LIFE,ADULT DEPRESSION,Original u otra,1,Not at all,Categoría analítica,False,216,0.37,216,0.457,True
ADPBINTF,WHEN PRBLMS WORST INTERFERE WITH WORK/ PRSNL LIFE,ADULT DEPRESSION,Original u otra,2,A little,Categoría analítica,False,1093,1.86,1093,2.311,True
ADPBINTF,WHEN PRBLMS WORST INTERFERE WITH WORK/ PRSNL LIFE,ADULT DEPRESSION,Original u otra,3,Some,Categoría analítica,False,2599,4.43,2599,5.495,True
ADPBINTF,WHEN PRBLMS WORST INTERFERE WITH WORK/ PRSNL LIFE,ADULT DEPRESSION,Original u otra,4,A lot,Categoría analítica,False,3269,5.58,3269,6.911,True
ADPBINTF,WHEN PRBLMS WORST INTERFERE WITH WORK/ PRSNL LIFE,ADULT DEPRESSION,Original u otra,5,Extremely,Categoría analítica,False,2131,3.63,2131,4.505,True
