variable,n_nan_adultos,pct_nan_adultos,codigo_nan_doc,etiqueta_nan_doc,interpretacion_nan
SRCCLFRTRQ,47002,99.372,.,"No PY Misuse/Not from Fr,Rel/Unknwn/Invld (Otherwise)",Salto legítimo o no aplicable
SRCCLFRSTM,46862,99.076,.,"No PY Misuse/Not from Fr,Rel/Unknwn/Invld (Otherwise)",Salto legítimo o no aplicable
SRCCLFRSED,47244,99.884,.,"No PY Misuse/Not from Fr,Rel/Unknwn/Invld (Otherwise)",Salto legítimo o no aplicable
HERNEDEVER,10,0.021,.,Unknown (Otherwise),Salto legítimo o no aplicable
COCNEDEVER,44,0.093,.,Unknown (Otherwise),Salto legítimo o no aplicable
MTHNEDEVER,20,0.042,.,Unknown (Otherwise),Salto legítimo o no aplicable
HERSMOEVER,11,0.023,.,Unknown (Otherwise),Salto legítimo o no aplicable
HERSNIEVER,11,0.023,.,Unknown (Otherwise),Salto legítimo o no aplicable
PYUD5ALC,435,0.92,.,Missing: Past year use known or imputed,No respuesta o ausencia
PYUD5MRJ,224,0.474,.,Missing: Past year use known or imputed,No respuesta o ausencia
PYUD5COC,30,0.063,.,Missing: Past year use known or imputed,No respuesta o ausencia
PYUD5HER,9,0.019,.,Missing: Past year use known or imputed,No respuesta o ausencia
PYUD5HAL,75,0.159,.,Missing: Past year use known or imputed,No respuesta o ausencia
PYUD5INH,19,0.04,.,Missing: Past year use known or imputed,No respuesta o ausencia
PYUD5MTH,15,0.032,.,Missing: Past year use known or imputed,No respuesta o ausencia
EDUD5PNRMIS,53,0.112,.,Missing: Past year use known or imputed,No respuesta o ausencia
EDUD5PNRUNM2,235,0.497,.,Missing: Past year use known or imputed,No respuesta o ausencia
EDUD5TRQMIS,28,0.059,.,Missing: Past year use known or imputed,No respuesta o ausencia
EDUD5TRQUNM,107,0.226,.,Missing: Past year use known or imputed,No respuesta o ausencia
EDUD5STMMIS,22,0.047,.,Missing: Past year use known or imputed,No respuesta o ausencia
EDUD5STMUNM,75,0.159,.,Missing: Past year use known or imputed,No respuesta o ausencia
EDUD5SEDMIS,8,0.017,.,Missing: Past year use known or imputed,No respuesta o ausencia
EDUD5SEDUNM,62,0.131,.,Missing: Past year use known or imputed,No respuesta o ausencia
SUTPHVIDRG,42,0.089,.,Unknown (Otherwise),Salto legítimo o no aplicable
SUTPHVIALC,42,0.089,.,Unknown (Otherwise),Salto legítimo o no aplicable
SUTSKTHPY2,2723,5.757,.,Unknown/received sub use treatment (Otherwise),Salto legítimo o no aplicable
SUNTCOST2,46839,99.027,.,Unknwn/Rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
SUNTINSCV2,46867,99.087,.,Unknwn/Rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
SUNTENCV2,46875,99.104,.,Unknwn/Rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
SUNTWHER2,46837,99.023,.,Unknwn/Rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
