variable,modulo,tipo_variable,n_unicos,pct_nan,pct_dominante,n_categorias_observadas,n_categorias_minoritarias_1,n_categorias_minoritarias_01,pct_acum_minoritarias_1,pct_acum_minoritarias_01
ILLANDALC,RECODED DRUG USE,Binaria,2,0.0,73.393,2,0,0,0.0,0.0
ILLEMFLAG2,RECODED DRUG USE,Binaria,2,0.0,68.701,2,0,0,0.0,0.0
ILLEMMON2,RECODED DRUG USE,Binaria,2,0.0,96.042,2,0,0,0.0,0.0
ILLEMYR2,RECODED DRUG USE,Binaria,2,0.0,89.203,2,0,0,0.0,0.0
ILLFLAG,RECODED DRUG USE,Binaria,2,0.0,56.64,2,0,0,0.0,0.0
ILLMON,RECODED DRUG USE,Binaria,2,0.0,79.027,2,0,0,0.0,0.0
ILLORALC,RECODED DRUG USE,Binaria,2,0.0,72.369,2,0,0,0.0,0.0
ILLYR,RECODED DRUG USE,Binaria,2,0.0,68.767,2,0,0,0.0,0.0
ILTOBALCFG,RECODED DRUG USE,Binaria,2,0.0,86.881,2,0,0,0.0,0.0
ILTOBALCMN,RECODED DRUG USE,Binaria,2,0.0,61.644,2,0,0,0.0,0.0
ILTOBALCYR,RECODED DRUG USE,Binaria,2,0.0,75.179,2,0,0,0.0,0.0
ILTOBVAPALC,RECODED DRUG USE,Binaria,2,0.0,63.688,2,0,0,0.0,0.0
IMFEVER,EMERGING ISSUES,Categórica con pocas categorías,6,0.0,96.059,6,4,1,1.23,0.008
IMFFLAG,RECODED EMERGING ISSUES,Binaria,2,0.0,99.148,2,1,0,0.852,0.0
IMFMON,RECODED EMERGING ISSUES,Binaria,2,0.0,99.808,2,1,0,0.192,0.0
IMFNDLEVER,EMERGING ISSUES,Categórica con pocas categorías,6,0.0,96.059,6,4,2,0.812,0.015
IMFNEDFLAG,RECODED EMERGING ISSUES,Binaria,2,0.055,99.622,3,2,1,0.378,0.055
IMFYR,RECODED EMERGING ISSUES,Binaria,2,0.0,99.672,2,1,0,0.328,0.0
INCOME,RECODED INCOME,Categórica con pocas categorías,4,0.0,42.95,4,0,0,0.0,0.0
INHALFLAG2,RECODED DRUG USE,Binaria,2,0.0,88.867,2,0,0,0.0,0.0
INHALMON2,RECODED DRUG USE,Binaria,2,0.0,99.533,2,1,0,0.467,0.0
INHALYR2,RECODED DRUG USE,Binaria,2,0.0,98.786,2,0,0,0.0,0.0
INHLMOLST,PRIOR SUBSTANCE USE,Categórica con número moderado de categorías,19,0.0,88.742,19,16,14,1.565,0.975
INHNDAYPM2,RECODED DRUG USE,Categórica con pocas categorías,5,0.0,99.533,5,4,3,0.467,0.201
INHNDAYYR2,RECODED DRUG USE,Categórica con pocas categorías,6,0.0,98.786,6,5,1,1.214,0.019
INHOSPYR,HEALTH,Categórica con pocas categorías,6,0.0,90.668,6,3,1,0.352,0.021
IRCHMPUS,IMPUTED HEALTH INSURANCE,Binaria,2,0.0,95.822,2,0,0,0.0,0.0
IREDUHIGHST2,IMPUTED DEMOGRAPHICS,Categórica con número moderado de categorías,11,0.0,33.745,11,4,0,2.201,0.0
IRFAMIN3,IMPUTED INCOME,Categórica con pocas categorías,7,0.0,42.95,7,0,0,0.0,0.0
IRFAMPMT,IMPUTED INCOME,Binaria,2,0.0,98.33,2,0,0,0.0,0.0
IRFAMSOC,IMPUTED INCOME,Binaria,2,0.0,80.148,2,0,0,0.0,0.0
IRFAMSSI,IMPUTED INCOME,Binaria,2,0.0,92.816,2,0,0,0.0,0.0
IRFAMSVC,IMPUTED INCOME,Binaria,2,0.0,97.125,2,0,0,0.0,0.0
