variable,tipo,n_presentes,n_unicos,n_nan,pct_nan
CIG100LF,int64,47299,7,0,0.0
NICVAPEVER,int64,47299,4,0,0.0
NICVAPAGE,int64,47299,84,0,0.0
NICVAPYFU,int64,47299,10,0,0.0
NICVAPMFU,int64,47299,19,0,0.0
NICVAPREC,int64,47299,12,0,0.0
NICVAP30N,int64,47299,35,0,0.0
SMKLSSEVR,int64,47299,4,0,0.0
SMKLSSTRY,int64,47299,65,0,0.0
SMKLSSYFU,int64,47299,10,0,0.0
SMKLSSMFU,int64,47299,19,0,0.0
SMKLSSREC,int64,47299,14,0,0.0
SMKLSS30N,int64,47299,35,0,0.0
SMKLSS30E,int64,47299,10,0,0.0
CIGAREVR,int64,47299,4,0,0.0
CIGARTRY,int64,47299,76,0,0.0
CIGARYFU,int64,47299,10,0,0.0
CIGARMFU,int64,47299,19,0,0.0
CIGARREC,int64,47299,13,0,0.0
CGR30USE,int64,47299,34,0,0.0
CI30EST,int64,47299,10,0,0.0
PIPEVER,int64,47299,3,0,0.0
PIPE30DY,int64,47299,5,0,0.0
CIGIRTBL,int64,47299,10,0,0.0
CIGCRAVE,int64,47299,10,0,0.0
CIGCRAGP,int64,47299,10,0,0.0
CIGINCTL,int64,47299,10,0,0.0
CIGAVOID,int64,47299,10,0,0.0
CIGFNSMK,int64,47299,7,0,0.0
CIGFNLKE,int64,47299,11,0,0.0
CIGPLANE,int64,47299,10,0,0.0
CIGRNOUT,int64,47299,10,0,0.0
CIGREGDY,int64,47299,10,0,0.0
CIGREGWK,int64,47299,10,0,0.0
CIGREGNM,int64,47299,10,0,0.0
CIGNMCHG,int64,47299,10,0,0.0
CIGSVLHR,int64,47299,10,0,0.0
CIGINFLU,int64,47299,10,0,0.0
CIGNOINF,int64,47299,10,0,0.0
CIGINCRS,int64,47299,10,0,0.0
CIGSATIS,int64,47299,10,0,0.0
CIGLOTMR,int64,47299,10,0,0.0
CIGWAKE,int64,47299,9,0,0.0
NDSSDEPND,float64,47169,3,130,0.275
FTNDDEPND,float64,47050,3,249,0.526
PMNICDEP,float64,47049,3,250,0.529
IRPMNICDEP,int64,47299,2,0,0.0
IIPMNICDEP,int64,47299,3,0,0.0
ALCEVER,int64,47299,4,0,0.0
ALCTRY,int64,47299,64,0,0.0
ALCYFU,int64,47299,10,0,0.0
ALCMFU,int64,47299,19,0,0.0
ALCREC,int64,47299,9,0,0.0
ALCYRTOT,int64,47299,186,0,0.0
ALTOTFG,int64,47299,4,0,0.0
ALFQFLG,int64,47299,2,0,0.0
ALBSTWAY,int64,47299,12,0,0.0
ALDAYPYR,int64,47299,137,0,0.0
ALDAYPMO,int64,47299,39,0,0.0
ALDAYPWK,int64,47299,14,0,0.0
ALCDAYS,int64,47299,36,0,0.0
AL30EST,int64,47299,13,0,0.0
ALDYSFG,int64,47299,2,0,0.0
ALCUS30D,int64,47299,49,0,0.0
ALCBNG30D,int64,47299,38,0,0.0
CADRLAST,int64,47299,50,0,0.0
CADRPEOP,int64,47299,10,0,0.0
CADRCAR,int64,47299,9,0,0.0
CADRHOME,int64,47299,10,0,0.0
CADROTHM,int64,47299,9,0,0.0
CADRPUBL,int64,47299,9,0,0.0
CADRBAR,int64,47299,9,0,0.0
CADREVNT,int64,47299,8,0,0.0
CADRSCHL,int64,47299,9,0,0.0
CADROTH,int64,47299,8,0,0.0
CADROTS2,int64,47299,24,0,0.0
CABUYFRE,int64,47299,9,0,0.0
CAGVMONY,int64,47299,9,0,0.0
CABUYWHO,int64,47299,7,0,0.0
CABPLACE,int64,47299,10,0,0.0
CABUNDAG,int64,47299,6,0,0.0
CAGVWHO,int64,47299,10,0,0.0
CAFREWHO,int64,47299,17,0,0.0
CAFRESP2,int64,47299,21,0,0.0
CADRKDRUG,int64,47299,8,0,0.0
CADRKMARJ,int64,47299,7,0,0.0
CADRKCOCN,int64,47299,7,0,0.0
CADRKHERN,int64,47299,6,0,0.0
CADRKHALL,int64,47299,7,0,0.0
CADRKINHL,int64,47299,7,0,0.0
CADRKMETH,int64,47299,7,0,0.0
CABINGFLG,int64,47299,4,0,0.0
CABINGEVR,int64,47299,8,0,0.0
CABINGAGE,int64,47299,85,0,0.0
CABINGYFU,int64,47299,10,0,0.0
CABINGMFU,int64,47299,19,0,0.0
EIBINGAGE,int64,47299,2,0,0.0
EIBINGYFU,int64,47299,2,0,0.0
EIBINGMFU,int64,47299,2,0,0.0
UADPEOP,float64,47199,4,100,0.211
UADCAR,float64,1284,2,46015,97.285
UADHOME,float64,1284,2,46015,97.285
