variable,etiqueta_codebook,modulo,tipo_version,pct_valores_informativos,rol_final_eda
DRVINHALL,DROVE UNDER INFLU OF HALLUCINOGENS PAST 12 MOS,SPECIAL TOPICS,Original u otra,99.416,Predictor principal
DRVININHL,DROVE UNDER INFLUENCE OF INHALANTS PAST 12 MOS,SPECIAL TOPICS,Original u otra,99.729,Predictor principal
DRVINMETH,DROVE UNDER INFLU OF METHAMPHETAMINE PAST 12 MOS,SPECIAL TOPICS,Original u otra,99.844,Predictor principal
DRVINALON,DROVE UNDER INFLUENCE OF ONLY ALCOHOL PST 12 MOS,SPECIAL TOPICS,Original u otra,34.121,Predictor principal
MXMJPNLT,MAX PENALTY FOR 1ST MJ POSS < OUNCE IN YOUR STATE,SPECIAL TOPICS,Original u otra,84.118,Predictor principal
DRVINALCO2,RC-DROVE UNDER INFLUENCE OF ALCOHOL IN PAST YEAR,RECODED SPECIAL TOPICS,Recodificada,98.894,Predictor principal
DRVINMARJ2,RC-DROVE UNDER INFLUENCE OF MARIJUANA IN PAST YEAR,RECODED SPECIAL TOPICS,Recodificada,99.332,Predictor principal
DRVINDRG,RC-DROVE UNDER INFLUENCE OF SELECTED ILL DRUGS IN PAST YR,RECODED SPECIAL TOPICS,Recodificada,98.562,Predictor principal
DRVINDROTMJ,RC-DROVE UNDER INFLUENCE OF SELECTED ILL DRG OTH MRJ IN PY,RECODED SPECIAL TOPICS,Recodificada,98.97,Predictor principal
DRVINALDRG,RC-DROVE UNDER INFLUENCE OF ALC OR SELECTED ILL DRG IN PY,RECODED SPECIAL TOPICS,Recodificada,97.92,Predictor principal
PAROL,RC-PAROLE/SUPERVISED RELEASE STATUS IN THE PAST YEAR,RECODED SPECIAL TOPICS,Recodificada,98.645,Predictor principal
PROB,RC-PROBATION STATUS IN THE PAST YEAR,RECODED SPECIAL TOPICS,Recodificada,98.651,Predictor principal
CIGEVER,EVER SMOKED A CIGARETTE,NICOTINE,Original u otra,100.0,Excluir de variables de entrada
CIGTRY,AGE WHEN FIRST SMOKED A CIGARETTE,NICOTINE,Original u otra,99.715,Excluir de variables de entrada
CIGYFU,YEAR OF FIRST CIGARETTE USE - RECODE,NICOTINE,Original u otra,50.01,Excluir de variables de entrada
CIGMFU,MONTH OF FIRST CIGARETTE USE - RECODE,NICOTINE,Original u otra,49.957,Excluir de variables de entrada
CIGREC,TIME SINCE LAST SMOKED CIGARETTES,NICOTINE,Original u otra,99.998,Excluir de variables de entrada
CIG30USE,HOW MANY DAYS SMOKED CIG IN PAST 30 DAYS,NICOTINE,Original u otra,99.888,Excluir de variables de entrada
CG30EST,BEST EST. # DAYS SMOKED CIG PAST 30 DAYS,NICOTINE,Original u otra,86.177,Excluir de variables de entrada
CIG30AV,AVG # CIGS SMOKED PER DAY/ON DAY SMOKED,NICOTINE,Original u otra,99.934,Excluir de variables de entrada
CIGMENTH30,MENTHOL CIGARETTES SMOKED MOST OFTEN IN PAST 30 DAYS,NICOTINE,Original u otra,99.918,Excluir de variables de entrada
