variable,modulo,tipo_version,tipo_variable,n_unicos,n_nan,pct_nan,pct_dominante,n_ausencia_documental,tipos_ausencia,pct_ausencia_documental
RSKCOCWK,RISK/AVAILABILITY,Original u otra,Categórica con pocas categorías,8,0,0.0,81.439,795,No respuesta o ausencia,1.681
RSKHERTRY,RISK/AVAILABILITY,Original u otra,Categórica con pocas categorías,8,0,0.0,79.655,816,No respuesta o ausencia,1.725
RSKHERWK,RISK/AVAILABILITY,Original u otra,Categórica con pocas categorías,8,0,0.0,90.655,777,No respuesta o ausencia,1.643
RSKLSDTRY,RISK/AVAILABILITY,Original u otra,Categórica con pocas categorías,8,0,0.0,49.984,1025,No respuesta o ausencia,2.167
RSKLSDWK,RISK/AVAILABILITY,Original u otra,Categórica con pocas categorías,8,0,0.0,67.158,1054,No respuesta o ausencia,2.228
RSKMRJMON,RISK/AVAILABILITY,Original u otra,Categórica con pocas categorías,8,0,0.0,34.476,670,No respuesta o ausencia,1.417
RSKMRJWK,RISK/AVAILABILITY,Original u otra,Categórica con pocas categorías,8,0,0.0,32.075,693,No respuesta o ausencia,1.465
RSKYFQDGR,RISK/AVAILABILITY,Original u otra,Categórica con pocas categorías,8,0,0.0,50.221,550,No respuesta o ausencia,1.163
RSKYFQTES,RISK/AVAILABILITY,Original u otra,Categórica con pocas categorías,8,0,0.0,51.98,470,No respuesta o ausencia,0.994
RXALPRANY,RECODED DRUG USE,Recodificada,Binaria,2,34,0.072,95.545,0,Sin ausencia documental observada,0.0
RXALPRMIS,RECODED DRUG USE,Recodificada,Binaria,2,5,0.011,99.0,0,Sin ausencia documental observada,0.0
RXAMMEANY,RECODED DRUG USE,Recodificada,Binaria,2,17,0.036,92.746,0,Sin ausencia documental observada,0.0
RXAMMEMIS,RECODED DRUG USE,Recodificada,Binaria,2,3,0.006,98.287,0,Sin ausencia documental observada,0.0
RXAMPHANY,RECODED DRUG USE,Recodificada,Binaria,2,21,0.044,93.657,0,Sin ausencia documental observada,0.0
RXAMPHMIS,RECODED DRUG USE,Recodificada,Binaria,2,4,0.008,98.395,0,Sin ausencia documental observada,0.0
RXANORANY,RECODED DRUG USE,Recodificada,Binaria,2,25,0.053,98.841,0,Sin ausencia documental observada,0.0
RXANORMIS,RECODED DRUG USE,Recodificada,Binaria,2,1,0.002,99.92,0,Sin ausencia documental observada,0.0
RXBARBANY,RECODED DRUG USE,Recodificada,Binaria,2,24,0.051,99.763,0,Sin ausencia documental observada,0.0
RXBARBMIS,RECODED DRUG USE,Recodificada,Binaria,2,2,0.004,99.985,0,Sin ausencia documental observada,0.0
RXBUPRANY2,RECODED DRUG USE,Recodificada,Binaria,2,82,0.173,98.431,0,Sin ausencia documental observada,0.0
RXBUPRMIS,RECODED DRUG USE,Recodificada,Binaria,2,14,0.03,99.657,0,Sin ausencia documental observada,0.0
RXBZOSANY,RECODED DRUG USE,Recodificada,Binaria,2,17,0.036,99.448,0,Sin ausencia documental observada,0.0
RXBZOSMIS,RECODED DRUG USE,Recodificada,Binaria,2,1,0.002,99.962,0,Sin ausencia documental observada,0.0
RXBZOTANY,RECODED DRUG USE,Recodificada,Binaria,2,24,0.051,91.822,0,Sin ausencia documental observada,0.0
RXBZOTMIS,RECODED DRUG USE,Recodificada,Binaria,2,5,0.011,98.592,0,Sin ausencia documental observada,0.0
RXCLONANY,RECODED DRUG USE,Recodificada,Binaria,2,37,0.078,97.808,0,Sin ausencia documental observada,0.0
RXCLONMIS,RECODED DRUG USE,Recodificada,Binaria,2,6,0.013,99.603,0,Sin ausencia documental observada,0.0
RXCODEANY2,RECODED DRUG USE,Recodificada,Binaria,2,82,0.173,94.032,0,Sin ausencia documental observada,0.0
RXCODEMIS,RECODED DRUG USE,Recodificada,Binaria,2,19,0.04,99.23,0,Sin ausencia documental observada,0.0
RXCYCLANY,RECODED DRUG USE,Recodificada,Binaria,2,46,0.097,97.249,0,Sin ausencia documental observada,0.0
RXCYCLMIS,RECODED DRUG USE,Recodificada,Binaria,2,9,0.019,99.748,0,Sin ausencia documental observada,0.0
RXDEMEANY2,RECODED DRUG USE,Recodificada,Binaria,2,93,0.197,99.609,0,Sin ausencia documental observada,0.0
RXDEMEMIS,RECODED DRUG USE,Recodificada,Binaria,2,12,0.025,99.96,0,Sin ausencia documental observada,0.0
RXDIAZANY,RECODED DRUG USE,Recodificada,Binaria,2,39,0.082,98.298,0,Sin ausencia documental observada,0.0
RXDIAZMIS,RECODED DRUG USE,Recodificada,Binaria,2,6,0.013,99.742,0,Sin ausencia documental observada,0.0
RXESZOANY,RECODED DRUG USE,Recodificada,Binaria,2,23,0.049,99.567,0,Sin ausencia documental observada,0.0
RXESZOMIS,RECODED DRUG USE,Recodificada,Binaria,2,1,0.002,99.966,0,Sin ausencia documental observada,0.0
RXFLURANY,RECODED DRUG USE,Recodificada,Binaria,2,17,0.036,99.939,0,Sin ausencia documental observada,0.0
RXHYDCANY2,RECODED DRUG USE,Recodificada,Binaria,2,79,0.167,89.19,0,Sin ausencia documental observada,0.0
RXHYDCMIS,RECODED DRUG USE,Recodificada,Binaria,2,12,0.025,98.634,0,Sin ausencia documental observada,0.0
RXHYDMANY2,RECODED DRUG USE,Recodificada,Binaria,2,93,0.197,99.205,0,Sin ausencia documental observada,0.0
RXHYDMMIS,RECODED DRUG USE,Recodificada,Binaria,2,12,0.025,99.911,0,Sin ausencia documental observada,0.0
RXLORAANY,RECODED DRUG USE,Recodificada,Binaria,2,37,0.078,97.486,0,Sin ausencia documental observada,0.0
RXLORAMIS,RECODED DRUG USE,Recodificada,Binaria,2,6,0.013,99.734,0,Sin ausencia documental observada,0.0
RXMORPANY2,RECODED DRUG USE,Recodificada,Binaria,2,94,0.199,97.922,0,Sin ausencia documental observada,0.0
RXMORPMIS,RECODED DRUG USE,Recodificada,Binaria,2,13,0.027,99.81,0,Sin ausencia documental observada,0.0
RXMRLXANY,RECODED DRUG USE,Recodificada,Binaria,2,46,0.097,97.087,0,Sin ausencia documental observada,0.0
RXMRLXMIS,RECODED DRUG USE,Recodificada,Binaria,2,11,0.023,99.719,0,Sin ausencia documental observada,0.0
RXMTDNANY2,RECODED DRUG USE,Recodificada,Binaria,2,93,0.197,99.288,0,Sin ausencia documental observada,0.0
RXMTDNMIS,RECODED DRUG USE,Recodificada,Binaria,2,13,0.027,99.892,0,Sin ausencia documental observada,0.0
RXMTHPANY,RECODED DRUG USE,Recodificada,Binaria,2,23,0.049,98.063,0,Sin ausencia documental observada,0.0
