variable,nombre,modulo,tipo_version,n_unicos,pct_nan,tipo_entrada
CNSNMMON,RC-CENTRAL NERVOUS SYSTEM STIMULANTS - PAST MONTH MISUSE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
ILLFLAG,RC-ANY ILLICIT DRUG - EVER USED,RECODED DRUG USE,Recodificada,2,0.0,Categórica
ILLYR,RC-ANY ILLICIT DRUG - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
ILLMON,RC-ANY ILLICIT DRUG - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
MJONLYFLAG2,RC-MARIJUANA ONLY - EVER USED,RECODED DRUG USE,Recodificada,2,0.0,Categórica
MJONLYYR2,RC-MARIJUANA ONLY - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
MJONLYMON2,RC-MARIJUANA ONLY - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
ILLEMFLAG2,RC-ILLICIT DRUG OTHER THAN MARIJUANA - EVER USED,RECODED DRUG USE,Recodificada,2,0.0,Categórica
ILLEMYR2,RC-ILLICIT DRUG OTHER THAN MARIJUANA - PAST YEAR,RECODED DRUG USE,Recodificada,2,0.0,Categórica
ILLEMMON2,RC-ILLICIT DRUG OTHER THAN MARIJUANA-PAST MONTH,RECODED DRUG USE,Recodificada,2,0.0,Categórica
CDUFLAG,RC-CIGARETTES DAILY - EVER USED,RECODED DRUG USE,Recodificada,2,0.0,Categórica
DCIGMON,RC-PAST MONTH DAILY CIGARETTE USE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
CDCGMO,RC-EVER USED CIG DAILY AND PAST MONTH CIG USE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
CDNOCGMO,RC-EVER USED CIG DAILY AND NO PAST MONTH CIG USE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
BNGDRKMON,RC-BINGE ALCOHOL USE PAST 30 DAYS,RECODED DRUG USE,Recodificada,2,0.0,Categórica
HVYDRKMON,RC-HEAVY ALCOHOL USE PAST 30 DAYS,RECODED DRUG USE,Recodificada,2,0.0,Categórica
ILTOBALCFG,"RC-ILLICIT DRUG, TOBACCO PRD, OR ALCOHOL - EVER USED",RECODED DRUG USE,Recodificada,2,0.0,Categórica
ILTOBALCYR,"RC-ILLICIT DRUG, TOBACCO PRD, OR ALCOHOL - PAST YEAR USE",RECODED DRUG USE,Recodificada,2,0.0,Categórica
ILTOBALCMN,"RC-ILLICIT DRUG, TOBACCO PRD, OR ALC - PAST MONTH USE",RECODED DRUG USE,Recodificada,2,0.0,Categórica
ILTOBVAPALC,"RC-TOBACCO, NICOTINE VAPING, ALCOHOL, ILLICIT DRUG - PST MON",RECODED DRUG USE,Recodificada,2,0.0,Categórica
ILLALCMON,RC-ILLICIT DRUG OR ALCOHOL - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
TOBALCFLG,RC-TOBACCO PRODUCT OR ALCOHOL - EVER USED,RECODED DRUG USE,Recodificada,2,0.0,Categórica
TOBALCYR,RC-TOBACCO PRODUCT OR ALCOHOL - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
TOBALCMN,RC-TOBACCO PRODUCT OR ALCOHOL - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
ILLANDALC,RC-ILLICIT DRUG AND ALCOHOL USE - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
ILLORALC,RC-ILLICIT DRUG OR ALCOHOL USE - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
ILLALCFLG,RC-ILLICIT DRUG OR ALCOHOL - EVER USED,RECODED DRUG USE,Recodificada,2,0.0,Categórica
PEYOTEEVER,RC-EVER USED PEYOTE,RECODED DRUG USE,Recodificada,2,0.027,Categórica
MESCEVER,RC-EVER USED MESCALINE,RECODED DRUG USE,Recodificada,2,0.042,Categórica
AMYLNIEVER2,"RC-EVER INHALED AMYL NITRITE, ""POPPERS"", RUSH, ETC.",RECODED DRUG USE,Recodificada,2,0.032,Categórica
CLEFLUEVER2,"RC-EVER INHALED CORRECTION FLUID, DEGREASER, ETC.",RECODED DRUG USE,Recodificada,2,0.011,Categórica
GASEVER2,RC-EVER INHALED GASOLINE OR LIGHTER FLUID,RECODED DRUG USE,Recodificada,2,0.004,Categórica
GLUEEVER2,"RC-EVER INHALED GLUE, SHOE POLISH, OR TOLUENE",RECODED DRUG USE,Recodificada,2,0.006,Categórica
ETHEREVER2,"RC-EVER INHALED HALOTHANE, ETHER, OR OTHER ANESTHETIC",RECODED DRUG USE,Recodificada,2,0.015,Categórica
SOLVENEVER2,"RC-EVER INHALED LACQUER THINNER, OTHER PAINT SOLVENTS",RECODED DRUG USE,Recodificada,2,0.013,Categórica
LGASEVER2,"RC-EVER INHALED LIGHTER GASES (BUTANE, PROPANE)",RECODED DRUG USE,Recodificada,2,0.008,Categórica
NITOXIEVER2,"RC-EVER INHALED NITROUS OXIDE OR ""WHIPPITS""",RECODED DRUG USE,Recodificada,2,0.023,Categórica
FLTMRKEVER2,RC-EVER USED FELT-TIP PENS/MARKERS TO GET HIGH,RECODED DRUG USE,Recodificada,2,0.015,Categórica
SPAINTEVER2,RC-EVER INHALED SPRAY PAINTS,RECODED DRUG USE,Recodificada,2,0.008,Categórica
AIRDUSEVER2,RC-EVER USED COMPUTER CLEANER/AIR DUSTER TO GET HIGH,RECODED DRUG USE,Recodificada,2,0.006,Categórica
OTHAEREVER2,RC-EVER USED OTHER AEROSOL SPRAY,RECODED DRUG USE,Recodificada,2,0.013,Categórica
RXHYDCANY2,RC-HYDROCODONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.167,Categórica
RXZOHYANY2,RC-ZOHYDRO ER - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.169,Categórica
RXOXCOANY2,RC-OXYCODONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.178,Categórica
RXTRAMANY2,RC-TRAMADOL PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.201,Categórica
RXCODEANY2,RC-CODEINE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.173,Categórica
RXMORPANY2,RC-MORPHINE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.199,Categórica
RXBUPRANY2,RC-BUPRENORPHINE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.173,Categórica
RXOXYMANY2,RC-OXYMORPHONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.18,Categórica
RXDEMEANY2,RC-DEMEROL PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.197,Categórica
RXHYDMANY2,RC-HYDROMORPHONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.197,Categórica
RXMTDNANY2,RC-METHADONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.197,Categórica
OTHRPNRANY2,RC-OTHER PAIN RELIEVER PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,1.0,Categórica
RXBZOTANY,RC-BENZODIAZEPINE TRANQUILIZERS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.051,Categórica
RXALPRANY,RC-ALPRAZOLEM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.072,Categórica
RXLORAANY,RC-LORAZEPAM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.078,Categórica
RXCLONANY,RC-CLONAZEP AM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.078,Categórica
RXDIAZANY,RC-DIAZEPAM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.082,Categórica
RXMRLXANY,RC-MUSCLE RELAXANTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.097,Categórica
RXCYCLANY,RC-CYCLOBENZAPRINE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.097,Categórica
RXSOMAANY,RC-SOMA PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.097,Categórica
OTHRTRQANY,RC-OTHER TRANQUILIZER- ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.104,Categórica
RXAMMEANY,RC-AMPHETAMINE OR METHYLPHENIDATE PRODS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.036,Categórica
RXAMPHANY,RC-AMPHETAMINE - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.044,Categórica
RXMTHPANY,RC-METHYLPHENIDATE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.049,Categórica
RXANORANY,RC-ANORECTIC STIMULANTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.053,Categórica
RXPROVANY,RC-PROVIGIL PRODUCTS- ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.053,Categórica
OTHRSTMANY,RC-OTHER STIMULANT - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.068,Categórica
RXZOLPANY,RC-ZOLPIDEM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.044,Categórica
RXESZOANY,RC-ESZOPICLONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.049,Categórica
RXZALEANY,RC-ZALEPLON PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.049,Categórica
RXBZOSANY,RC-BENZODIAZEPINE SEDATIVES - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.036,Categórica
RXTRIAANY,RC-TRIAZOLAM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.036,Categórica
RXTEMAANY,RC-TEMAZEPAM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.036,Categórica
RXFLURANY,RC-FLURAZEPAM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.036,Categórica
RXBARBANY,RC-BARBITUATES - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.051,Categórica
OTHRSEDANY,RC-OTHER SEDATIVE - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.057,Categórica
RXHYDCMIS,RC-HYDROCODONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.025,Categórica
RXZOHYMIS,RC-ZOHYDRO ER - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.021,Categórica
RXOXCOMIS,RC-OXYCODONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.038,Categórica
RXTRAMMIS,RC-TRAMADOL PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.047,Categórica
RXCODEMIS,RC-CODEINE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.04,Categórica
RXMORPMIS,RC-MORPHINE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.027,Categórica
RXBUPRMIS,RC-BUPRENORPHINE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.03,Categórica
RXOXYMMIS,RC-OXYMORPHONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.023,Categórica
RXDEMEMIS,RC-DEMEROL PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.025,Categórica
RXHYDMMIS,RC-HYDROMORPHONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.025,Categórica
RXMTDNMIS,RC-METHADONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.027,Categórica
OTHRPNRMIS,RC-OTHER PAIN RELIEVER PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.129,Categórica
RXBZOTMIS,RC-BENZODIAZEPINE TRANQUILIZERS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.011,Categórica
RXALPRMIS,RC-ALPRAZOLEM PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.011,Categórica
RXLORAMIS,RC-LORAZEPAM PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.013,Categórica
RXCLONMIS,RC-CLONAZEPAM PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.013,Categórica
RXDIAZMIS,RC-DIAZEPAM PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.013,Categórica
RXMRLXMIS,RC-MUSCLE RELAXANTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.023,Categórica
RXCYCLMIS,RC-CYCLOBENZAPRINE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.019,Categórica
RXSOMAMIS,RC-SOMA PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.017,Categórica
OTHRTRQMIS,RC-OTHER TRANQUILIZER PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.042,Categórica
RXAMMEMIS,RC-AMPHETAMINE OR METHYLPHENIDATE PRODS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.006,Categórica
RXAMPHMIS,RC-AMPHETAMINE - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.008,Categórica
