clave_modelo,candidato,estrategia,target,descripcion,umbral,average_precision,roc_auc,recall,precision,f1,f2,balanced_accuracy,specificity,accuracy,true_negatives,false_positives,false_negatives,true_positives
embeddings_lstm_balanceada,Embeddings + LSTM — Ponderación balanceada,balanceada,IRSUITRYYR,Intento suicida,0.5,0.04049516751629019,0.7043589817006439,0.08333333333333333,0.1076923076923077,0.09395973154362416,0.08728179551122195,0.5377917334758596,0.9922501336183859,0.982161733615222,7426,58,77,7
embeddings_gru_balanceada,Embeddings + GRU — Ponderación balanceada,balanceada,IRAMDEYR,Episodio depresivo mayor,0.5,0.4370560582824922,0.8728071952283887,0.48086124401913877,0.43982494529540483,0.4594285714285714,0.47205260685767964,0.7024032898645902,0.9239453357100416,0.875,6220,512,434,402
embeddings_gru_balanceada,Embeddings + GRU — Ponderación balanceada,balanceada,IRSUICTHNK,Ideación suicida,0.5,0.2447371071931401,0.7809767953111391,0.19182948490230906,0.34951456310679613,0.24770642201834864,0.21085513471300274,0.581567847376208,0.9713062098501071,0.9133192389006343,6804,201,455,108
embeddings_gru_balanceada,Embeddings + GRU — Ponderación balanceada,balanceada,IRSUIPLANYR,Planificación suicida,0.5,0.11832109708031927,0.809926656904169,0.040229885057471264,0.3181818181818182,0.07142857142857142,0.04874651810584958,0.5191006065806696,0.997971328103868,0.9759513742071881,7379,15,167,7
embeddings_gru_balanceada,Embeddings + GRU — Ponderación balanceada,balanceada,IRSUITRYYR,Intento suicida,0.5,0.10876148483473318,0.8362793006031916,0.011904761904761904,1.0,0.023529411764705882,0.01483679525222552,0.5059523809523809,1.0,0.9890327695560254,7484,0,83,1
embeddings_atencion_balanceada,Embeddings + atención — Ponderación balanceada,balanceada,IRAMDEYR,Episodio depresivo mayor,0.5,0.4990145510100789,0.8926263052705495,0.3803827751196172,0.5473321858864028,0.4488355681016232,0.4050955414012739,0.6706578165556494,0.9609328579916815,0.8968023255813954,6469,263,518,318
embeddings_atencion_balanceada,Embeddings + atención — Ponderación balanceada,balanceada,IRSUICTHNK,Ideación suicida,0.5,0.2769554709360857,0.7978434586815051,0.38543516873889877,0.3013888888888889,0.338269680436477,0.36507402422611035,0.6568146578883645,0.9281941470378301,0.8878171247357294,6502,503,346,217
embeddings_atencion_balanceada,Embeddings + atención — Ponderación balanceada,balanceada,IRSUIPLANYR,Planificación suicida,0.5,0.15962542853040448,0.8405355071990648,0.05172413793103448,0.4090909090909091,0.09183673469387756,0.06267409470752089,0.5249829778105267,0.998241817690019,0.9764799154334038,7381,13,165,9
embeddings_atencion_balanceada,Embeddings + atención — Ponderación balanceada,balanceada,IRSUITRYYR,Intento suicida,0.5,0.12106712370345729,0.8241645669491742,0.03571428571428571,0.21428571428571427,0.061224489795918366,0.04285714285714286,0.5171222417347484,0.9985301977552111,0.9878435517970402,7473,11,81,3
multisalida_bce_adam,Red multisalida — BCE + Adam,bce_adam,IRAMDEYR,Episodio depresivo mayor,0.5,0.4653056959483402,0.879878328741965,0.12799043062200957,0.656441717791411,0.21421421421421422,0.15255203877958368,0.5598359758576477,0.9916815210932858,0.8962737843551797,6676,56,729,107
