clave_modelo,candidato,target,descripcion,umbral,recall,precision,f1,f2,balanced_accuracy,accuracy,specificity,youden,true_negatives,false_positives,false_negatives,true_positives
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.043,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.044,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.045,1.0,0.11047971455001983,0.19897655599190767,0.38309962423242605,0.5000742721330956,0.11059725158562368,0.00014854426619132502,0.00014854426619126393,1,6731,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.046,1.0,0.11047971455001983,0.19897655599190767,0.38309962423242605,0.5000742721330956,0.11059725158562368,0.00014854426619132502,0.00014854426619126393,1,6731,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.047,1.0,0.11047971455001983,0.19897655599190767,0.38309962423242605,0.5000742721330956,0.11059725158562368,0.00014854426619132502,0.00014854426619126393,1,6731,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.048,1.0,0.11047971455001983,0.19897655599190767,0.38309962423242605,0.5000742721330956,0.11059725158562368,0.00014854426619132502,0.00014854426619126393,1,6731,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.049,1.0,0.11049431667988369,0.19900023803856223,0.38313473877176907,0.5001485442661914,0.1107293868921776,0.00029708853238265005,0.0002970885323827499,2,6730,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.05,1.0,0.11049431667988369,0.19900023803856223,0.38313473877176907,0.5001485442661914,0.1107293868921776,0.00029708853238265005,0.0002970885323827499,2,6730,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.051,1.0,0.11049431667988369,0.19900023803856223,0.38313473877176907,0.5001485442661914,0.1107293868921776,0.00029708853238265005,0.0002970885323827499,2,6730,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.052,1.0,0.11049431667988369,0.19900023803856223,0.38313473877176907,0.5001485442661914,0.1107293868921776,0.00029708853238265005,0.0002970885323827499,2,6730,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.053,1.0,0.11049431667988369,0.19900023803856223,0.38313473877176907,0.5001485442661914,0.1107293868921776,0.00029708853238265005,0.0002970885323827499,2,6730,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.054,1.0,0.11049431667988369,0.19900023803856223,0.38313473877176907,0.5001485442661914,0.1107293868921776,0.00029708853238265005,0.0002970885323827499,2,6730,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.055,1.0,0.11049431667988369,0.19900023803856223,0.38313473877176907,0.5001485442661914,0.1107293868921776,0.00029708853238265005,0.0002970885323827499,2,6730,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.056,1.0,0.11049431667988369,0.19900023803856223,0.38313473877176907,0.5001485442661914,0.1107293868921776,0.00029708853238265005,0.0002970885323827499,2,6730,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.057,1.0,0.11050892267019168,0.19902392572312821,0.3831698597488312,0.500222816399287,0.11086152219873151,0.000445632798573975,0.00044563279857401383,3,6729,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.058,1.0,0.11050892267019168,0.19902392572312821,0.3831698597488312,0.500222816399287,0.11086152219873151,0.000445632798573975,0.00044563279857401383,3,6729,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.059,1.0,0.11052353252247488,0.19904761904761903,0.38320498716538326,0.5002970885323826,0.1109936575052854,0.0005941770647653001,0.0005941770647652778,4,6728,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.06,1.0,0.11052353252247488,0.19904761904761903,0.38320498716538326,0.5002970885323826,0.1109936575052854,0.0005941770647653001,0.0005941770647652778,4,6728,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.061,1.0,0.11052353252247488,0.19904761904761903,0.38320498716538326,0.5002970885323826,0.1109936575052854,0.0005941770647653001,0.0005941770647652778,4,6728,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.062,1.0,0.11052353252247488,0.19904761904761903,0.38320498716538326,0.5002970885323826,0.1109936575052854,0.0005941770647653001,0.0005941770647652778,4,6728,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.063,1.0,0.11052353252247488,0.19904761904761903,0.38320498716538326,0.5002970885323826,0.1109936575052854,0.0005941770647653001,0.0005941770647652778,4,6728,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.064,1.0,0.11052353252247488,0.19904761904761903,0.38320498716538326,0.5002970885323826,0.1109936575052854,0.0005941770647653001,0.0005941770647652778,4,6728,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.065,1.0,0.11052353252247488,0.19904761904761903,0.38320498716538326,0.5002970885323826,0.1109936575052854,0.0005941770647653001,0.0005941770647652778,4,6728,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.066,1.0,0.11052353252247488,0.19904761904761903,0.38320498716538326,0.5002970885323826,0.1109936575052854,0.0005941770647653001,0.0005941770647652778,4,6728,0,836
